ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11969.45,2026-05-19,85641.05,84549.57,80884.1,78172.63,78218.72,79797.54
AHLWEST,649.15,2026-05-19,5.0,33.97,205.51,,,
SHYAMTEL,20.92,2026-05-19,-1.97,-11.32,102.91,96.99,73.18,72.46
CALSOFT,22.7,2026-05-19,5.0,-10.1,84.4,58.96,38.25,107.5
BBOX,945.1,2026-05-19,1.06,19.92,74.61,83.39,78.05,102.45
OMAXAUTO,200.81,2026-05-19,0.69,-12.62,73.32,78.58,115.8,127.52
SANCO,3.75,2026-05-19,3.31,16.1,70.45,65.2,80.29,51.82
JAINAM,294.95,2026-05-18,3.49,20.88,69.51,39.79,7.25,27.68
GRCL,610.0,2026-05-18,14.0,37.29,63.98,58.22,56.41,22.0
IDEAFORGE,776.85,2026-05-19,-5.0,-2.31,62.91,89.11,61.16,35.96
ROLLT,2.07,2026-05-19,-0.48,-10.39,54.48,80.0,76.92,27.78
SIGMAADV,302.0,2026-05-19,-1.32,-10.9,54.0,64.25,,
STLTECH,400.9,2026-05-19,-4.98,1.57,52.39,155.81,256.07,453.5
BALAMINES,1708.8,2026-05-19,-3.07,20.81,49.99,55.26,43.62,18.94
SILKFLEX,219.0,2026-05-18,4.29,1.51,49.44,99.09,164.01,125.31
VERANDA,234.95,2026-05-19,1.08,9.7,48.42,22.97,7.0,10.41
WHEELS,1564.2,2026-05-19,-1.66,17.89,46.59,70.39,80.36,105.51
DSSL,1547.8,2026-05-19,11.93,8.4,46.41,60.54,59.28,30.94
HFCL,138.17,2026-05-19,-1.09,-6.93,44.7,93.57,87.25,54.08
NEUEON,25.54,2026-05-18,-2.15,24.77,44.29,148.2,389.27,389.27
REMUS,915.45,2026-05-18,21.34,27.71,43.4,28.68,24.64,-58.48
FCL,33.22,2026-05-19,8.85,17.26,43.13,32.99,37.1,25.71
ONELIFECAP,21.7,2026-05-19,3.53,15.55,42.76,30.57,70.46,92.04
INSPIRISYS,119.79,2026-05-19,5.0,30.08,42.4,31.18,20.91,9.47
OLIL,451.0,2026-05-18,-1.74,5.68,41.38,50.99,38.43,160.69
UCL,148.0,2026-05-18,9.55,16.17,41.22,102.74,203.59,184.62
DENEERS,229.75,2026-05-18,8.63,26.13,40.95,44.32,55.34,-25.16
IDEA,13.52,2026-05-19,5.13,11.0,40.69,20.07,26.47,101.19
MTARTECH,6810.0,2026-05-19,-4.23,4.45,40.19,86.68,162.34,316.56
SHAILY,2636.8,2026-05-19,-2.02,-2.34,39.88,27.92,1.54,58.44
GRWRHITECH,5541.1,2026-05-19,2.94,6.82,39.03,31.86,34.92,32.18
NOIDATOLL,5.13,2026-05-19,19.86,36.44,39.02,26.04,14.51,12.5
SCPL,442.8,2026-05-19,1.89,-1.2,38.59,30.22,95.49,31.61
FMNL,12.52,2026-05-19,9.92,28.41,38.19,47.99,11.19,-26.7
SHIGAN,84.5,2026-05-18,11.92,16.23,37.62,25.19,38.52,11.49
KSHITIJPOL,3.92,2026-05-19,4.81,-10.09,37.54,55.56,40.0,15.29
RANEHOLDIN,1485.9,2026-05-19,-1.54,30.01,37.45,18.46,2.25,2.76
SUVEN,269.43,2026-05-19,6.68,23.69,37.41,78.15,49.66,29.55
VISHWAS,55.8,2026-05-18,1.45,36.1,36.43,35.27,26.53,-11.29
SOFTTECH,413.8,2026-05-19,2.11,-7.46,36.34,37.48,25.72,17.12
VISASTEEL,47.92,2026-05-19,5.0,-9.7,35.67,19.59,-10.11,39.14
SASKEN,1823.4,2026-05-19,-0.69,11.55,35.5,51.02,30.87,25.28
MWL,370.2,2026-05-19,1.23,5.95,35.48,40.47,54.59,133.77
PARACABLES,54.72,2026-05-19,0.35,-8.91,35.45,51.66,35.01,-8.92
WELINV,1800.2,2026-05-19,-0.89,6.39,35.4,39.33,55.77,115.09
BHAGYANGR,286.5,2026-05-19,-4.99,-6.17,35.17,76.46,89.43,271.21
EMBDL,67.77,2026-05-19,0.77,-6.92,34.97,8.38,-18.23,-35.92
SHADOWFAX,189.45,2026-05-19,2.07,15.01,34.9,56.87,,
ANLON,550.0,2026-05-18,-5.17,-5.21,34.47,43.53,39.24,48.65
CEMPRO,868.25,2026-05-19,-1.23,-4.16,33.94,47.31,6.39,
EMAMIREAL,91.44,2026-05-19,-1.99,-11.36,33.88,34.45,1.6,-23.28
PATTECH,116.85,2026-05-18,0.0,10.24,33.16,9.98,-4.06,51.46
SHERA,174.0,2026-05-18,11.29,10.51,32.57,38.98,28.41,14.66
VILINBIO,49.4,2026-05-18,-4.73,21.23,32.44,39.55,122.02,86.06
PRITIKA,73.25,2026-05-18,0.55,5.4,32.22,13.04,-15.32,-2.33
APCOTEXIND,508.45,2026-05-19,5.23,2.81,32.05,37.46,29.36,51.14
SUNFLAG,358.55,2026-05-19,0.87,-6.51,31.35,44.96,44.2,31.83
AUTOIND,87.82,2026-05-19,13.14,13.21,31.07,10.53,31.49,3.37
MCLEODRUSS,69.05,2026-05-19,4.99,19.61,30.73,64.92,30.8,111.29
RRKABEL,1918.9,2026-05-19,-1.49,-0.16,30.04,34.62,41.01,48.79
NINSYS,601.55,2026-05-19,3.09,8.46,30.01,83.29,48.07,38.37
RITCO,264.77,2026-05-19,-0.3,6.5,29.36,16.26,-6.98,-5.42
ORCHPHARMA,735.85,2026-05-19,3.2,2.19,29.23,9.84,-13.45,-3.06
SAKAR,766.8,2026-05-19,-1.69,44.79,29.16,66.05,92.86,147.24
KILITCH,174.37,2026-05-19,3.14,10.44,29.1,9.74,-1.86,-18.93
SEYAIND,15.05,2026-05-19,-1.95,-3.59,29.07,-3.09,-30.48,-7.89
RPEL,917.0,2026-05-19,6.81,17.35,28.89,30.93,-13.07,31.69
ARISTO,115.9,2026-05-18,-5.0,-3.42,28.85,22.19,-8.74,-10.47
ANSALAPI,4.42,2026-05-19,-1.56,7.54,28.49,23.46,22.78,0.68
CMPDI,231.68,2026-05-19,3.21,8.21,28.09,,,
SANSTAR,112.0,2026-05-19,2.41,12.72,27.91,27.13,22.87,21.96
CADSYS,69.5,2026-05-18,-2.11,7.59,27.76,39.0,46.01,-21.29
GKSL,143.33,2026-05-19,0.08,0.77,27.65,29.57,,
RITEZONE,23.45,2026-05-18,-14.1,-6.2,27.45,19.95,-14.1,-4.29
INDOTECH,2351.3,2026-05-19,-4.8,-13.87,27.39,64.9,34.94,-11.43
DIACABS,190.23,2026-05-19,-0.83,8.86,27.15,41.43,24.77,100.31
VIJAYA,1300.1,2026-05-19,-0.21,-3.17,27.14,28.79,29.41,41.28
VIDYAWIRES,88.52,2026-05-19,-3.55,-6.11,27.13,89.96,,
ZIMLAB,100.6,2026-05-19,3.27,-7.95,26.8,42.07,36.68,8.18
RAYMONDREL,579.6,2026-05-19,0.44,-1.7,26.79,28.7,11.92,
SATIN,222.31,2026-05-19,1.34,3.55,26.68,44.38,45.92,28.73
BHEL,401.1,2026-05-19,1.48,-0.06,26.61,58.04,38.69,64.88
GVPIL,632.75,2026-05-19,-4.32,-1.03,26.58,37.84,74.43,
GLOBALPET,137.9,2026-05-18,0.29,17.11,26.57,13.97,-2.2,20.44
SAHYADRI,309.6,2026-05-19,0.85,-6.45,26.5,18.94,20.23,6.26
AQYLON,57.44,2026-05-19,1.63,6.23,26.44,-62.86,-94.94,-90.26
IRMENERGY,279.3,2026-05-19,-0.36,-7.26,26.38,16.93,-10.29,-1.97
ACCORD,48.1,2026-05-18,10.07,4.68,26.08,87.52,110.04,116.18
TDPOWERSYS,1256.3,2026-05-19,-5.4,6.58,26.02,42.1,64.83,152.94
PRIZOR,649.55,2026-05-18,-3.48,-6.79,25.7,97.43,91.69,310.2
ADVENZYMES,386.3,2026-05-19,6.2,-1.05,25.67,26.8,17.72,31.9
ARVIND,485.8,2026-05-19,2.79,10.2,25.61,33.0,36.1,26.05
PARTYCRUS,111.6,2026-05-18,15.05,22.23,25.53,38.38,57.18,18.72
GLAND,2251.1,2026-05-19,4.38,17.3,25.24,22.31,27.2,53.11
KIRLPNU,1581.5,2026-05-19,3.62,3.9,25.18,40.57,40.19,30.41
SIS,404.25,2026-05-19,2.45,5.04,25.0,33.97,26.55,23.55
PROPEQUITY,250.45,2026-05-18,14.89,19.83,24.82,24.6,39.14,12.08
MANINFRA,119.94,2026-05-19,1.39,-9.89,24.68,8.86,-5.65,-27.8
VMARCIND,1052.8,2026-05-18,-7.13,8.63,24.56,44.97,39.21,238.85
SKP,186.7,2026-05-18,22.79,19.3,24.47,12.47,-12.41,-17.79
MIRCELECTR,39.3,2026-05-19,-2.53,-13.97,24.41,30.96,53.4,185.4
KOTYARK,449.0,2026-05-19,-1.78,9.42,24.41,85.0,85.42,9.78
BLUECOAST,31.56,2026-05-19,2.53,-2.86,24.35,33.62,-30.52,31.5
QUADPRO,2.3,2026-05-18,9.52,17.95,24.32,-4.17,-16.36,-36.99
OFSS,9646.0,2026-05-19,2.52,4.4,24.15,49.16,19.07,16.88
TRITURBINE,638.05,2026-05-19,6.94,9.62,23.79,30.96,17.23,7.16
MORARJEE,9.22,2026-05-19,4.89,21.16,23.76,23.92,19.74,49.68
STYLAMIND,2773.0,2026-05-19,-1.17,8.65,23.6,24.32,35.19,53.69
POCL,1529.8,2026-05-19,-0.5,10.61,23.49,28.92,10.17,78.15
CYIENTDLM,421.0,2026-05-19,1.02,-0.8,23.37,20.84,-5.65,-14.17
MOLDTKPAC,681.8,2026-05-19,-1.42,16.65,23.35,22.78,3.46,21.4
DHANBANK,33.18,2026-05-19,0.09,4.64,23.35,39.12,19.61,7.21
SEDEMAC,2039.6,2026-05-19,3.39,2.02,23.28,,,
CELLECOR,38.95,2026-05-18,-7.81,3.45,23.26,50.39,39.11,-9.42
ATMASTCO,183.45,2026-05-18,-10.34,24.46,23.24,30.43,-3.73,-0.11
RAYMOND,520.05,2026-05-19,3.48,5.7,23.12,31.96,2.5,-18.47
GLFL,6.72,2026-05-19,-1.9,-4.0,23.08,-8.2,-11.7,55.92
WINSOME,2.14,2026-05-19,1.9,2.88,22.99,22.29,15.05,18.23
POWERICA,540.35,2026-05-19,1.08,7.67,22.96,,,
ALKYLAMINE,1766.3,2026-05-19,3.23,7.32,22.87,16.17,-0.31,-0.44
ADANIENT,2725.0,2026-05-19,1.31,8.99,22.84,26.35,12.0,7.31
CONFIPET,64.71,2026-05-19,5.05,13.67,22.84,101.09,59.62,12.84
AEROFLEX,381.8,2026-05-19,3.5,-4.21,22.67,67.19,107.56,126.14
SEMAC,352.6,2026-05-19,-5.0,3.98,22.63,33.37,6.85,0.87
WALCHANNAG,236.49,2026-05-19,1.07,-1.69,22.6,37.91,49.27,6.86
LLOYDSENGG,68.44,2026-05-19,-0.57,3.45,22.52,34.88,24.01,32.44
CLEANMAX,1223.9,2026-05-19,2.56,-0.42,22.52,,,
SATIPOLY,39.4,2026-05-18,-3.9,12.09,22.36,-35.78,-44.51,-55.76
DEEDEV,452.55,2026-05-19,-5.0,-8.15,22.31,116.24,94.39,82.16
GODREJIND,1134.1,2026-05-19,-1.92,-1.04,22.27,10.53,6.96,-1.93
SHRITECH,71.75,2026-05-18,8.38,12.99,22.23,13.8,11.24,-11.42
ADANIGREEN,1377.8,2026-05-19,0.64,-0.71,22.22,41.1,28.78,35.88
ACUTAAS,2886.5,2026-05-19,3.12,2.71,22.22,37.3,67.82,
IBLFL,60.0,2026-05-18,-1.23,-7.83,21.95,20.6,-14.41,-1.56
OMNI,406.85,2026-05-19,3.92,-5.46,21.84,,,
