ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11884.8,2026-05-14,83950.92,82490.68,81638.65,77899.6,78352.7,80305.92
SHYAMTEL,22.21,2026-05-14,-5.85,-6.48,137.03,115.0,86.64,79.11
OMAXAUTO,216.36,2026-05-14,-5.85,40.15,106.55,90.01,130.34,154.63
CALSOFT,23.94,2026-05-14,-5.19,39.02,102.37,72.48,42.67,112.05
IDEAFORGE,848.2,2026-05-14,6.66,16.03,93.3,106.37,82.55,56.47
INDOTECH,2699.6,2026-05-14,-1.11,-1.08,88.68,96.48,45.96,8.86
ROLLT,2.29,2026-05-14,-0.87,13.93,81.75,83.2,86.18,55.78
BHAGYANGR,328.3,2026-05-14,7.52,16.6,77.37,106.71,113.64,342.15
HFCL,151.59,2026-05-14,2.11,20.27,76.27,117.36,99.83,77.24
SIGMAADV,303.7,2026-05-14,-10.4,2.77,75.66,63.02,,
STLTECH,422.9,2026-05-14,7.14,36.71,74.19,171.68,255.23,522.74
MTARTECH,7588.0,2026-05-14,16.38,23.84,72.56,111.57,188.89,398.62
RITEZONE,26.0,2026-05-13,-4.76,4.0,67.74,32.99,-4.94,10.64
JAINAM,286.0,2026-05-13,0.35,17.21,64.37,35.55,2.14,19.17
BBOX,853.1,2026-05-14,8.25,29.0,63.68,56.68,53.17,98.14
VERANDA,240.5,2026-05-14,12.29,20.94,62.77,22.74,8.69,14.93
SANCO,3.34,2026-05-14,3.41,17.19,59.81,37.45,65.35,39.17
VISASTEEL,50.18,2026-05-14,-5.45,18.02,58.2,38.35,-18.95,50.96
SILKFLEX,213.6,2026-05-13,1.71,-1.0,57.06,85.98,144.11,147.65
SEMAC,411.2,2026-05-14,21.26,44.46,56.91,49.93,21.62,14.14
VMARCIND,1193.6,2026-05-13,5.29,23.16,56.37,96.38,53.97,263.4
PARACABLES,57.76,2026-05-14,-3.85,43.54,55.9,61.79,45.38,3.48
GVPIL,732.7,2026-05-14,14.6,15.47,54.84,52.74,106.42,
CLEANMAX,1364.8,2026-05-14,11.04,18.03,53.47,,,
KSHITIJPOL,4.13,2026-05-14,-5.28,20.06,51.84,42.41,45.94,16.34
SUNFLAG,378.1,2026-05-14,-1.41,17.73,51.32,54.27,45.79,49.32
BALAMINES,1623.4,2026-05-14,14.78,11.54,49.98,50.44,32.11,21.26
CEMPRO,926.75,2026-05-14,2.3,-3.11,49.87,53.74,12.27,
RRKABEL,2037.3,2026-05-14,6.0,14.76,48.73,45.12,48.36,56.68
VIDYAWIRES,98.33,2026-05-14,4.3,7.62,48.2,108.95,,
GLFL,7.0,2026-05-14,0.0,-1.13,47.99,15.51,-12.72,55.9
MIRCELECTR,46.12,2026-05-14,0.96,37.55,47.63,50.77,74.37,250.72
NEUEON,26.1,2026-05-13,0.0,27.5,47.46,166.33,400.0,400.0
LLOYDSENGG,71.89,2026-05-14,8.66,23.06,47.41,35.49,24.21,27.96
SMARTLINK,184.58,2026-05-14,21.35,38.49,47.25,47.69,37.52,17.37
GRCL,587.65,2026-05-13,9.82,32.26,46.97,52.04,46.95,16.72
SHIGAN,78.0,2026-05-13,3.31,7.29,46.89,6.12,24.4,9.39
IBULLSLTD,19.98,2026-05-14,-4.17,-7.93,46.37,101.41,-4.95,
GRWRHITECH,5444.6,2026-05-14,4.96,27.46,46.18,28.88,44.77,50.05
IRMENERGY,294.5,2026-05-14,-2.21,-15.01,45.7,19.88,-6.8,7.25
NINSYS,581.8,2026-05-14,4.89,11.49,44.4,72.67,36.52,26.19
PRIZOR,643.35,2026-05-13,-4.41,-7.68,44.1,116.62,97.65,290.74
EMBDL,72.26,2026-05-14,-0.76,48.71,43.92,12.0,-14.2,-29.02
CADSYS,69.0,2026-05-13,-2.82,6.81,43.9,40.24,24.44,-26.24
SHAILY,2793.5,2026-05-14,3.46,8.32,43.82,39.42,6.51,63.69
BHEL,413.15,2026-05-14,2.94,9.57,43.57,61.54,46.72,72.97
VISHWAS,57.25,2026-05-13,4.09,39.63,43.12,38.79,20.53,-5.37
ADFFOODS,270.3,2026-05-14,-0.79,4.3,42.83,22.96,26.43,16.48
AKIKO,285.05,2026-05-13,-4.67,17.02,42.81,31.42,-0.16,247.62
OLIL,459.5,2026-05-13,0.11,7.67,42.59,62.89,36.98,173.51
SVPGLOB,3.89,2026-05-14,-12.98,5.14,42.49,21.56,2.1,24.28
SEYAIND,15.97,2026-05-14,2.31,12.78,42.34,-3.09,-29.93,-6.93
UCL,140.0,2026-05-13,3.63,9.89,41.7,100.29,187.18,164.15
BHARATWIRE,238.18,2026-05-14,-5.79,1.58,41.66,36.02,22.33,30.6
STYLEBAAZA,414.9,2026-05-14,-0.23,1.6,41.44,17.32,34.62,29.49
SASKEN,1737.3,2026-05-14,6.28,29.21,41.32,41.24,21.54,16.26
ANLON,564.0,2026-05-13,-2.76,-2.79,40.47,42.42,45.12,60.23
IDEA,12.97,2026-05-14,6.49,23.29,40.22,14.78,18.56,85.82
