ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11854.3,2026-07-22,83557.73,83498.73,83557.73,80486.67,7595.1,7906.96
SHARDUL,59.39,2026-07-22,10.23,47.3,109.86,105.5,,
ACCORD,202.35,2026-07-21,0.0,-0.07,103.16,382.94,633.15,746.65
VIJIFIN,8.92,2026-07-22,3.96,14.36,88.58,143.72,240.46,93.91
TIRUPATIFL,81.55,2026-07-22,16.57,18.07,66.77,80.54,139.78,91.97
SIGNORIA,136.5,2026-07-21,5.0,-8.85,56.63,116.67,55.29,26.39
KALYANKJIL,596.1,2026-07-22,4.58,16.73,56.42,43.9,59.58,0.81
SANGINITA,59.25,2026-07-22,4.02,14.8,51.19,181.21,433.3,473.02
HUHTAMAKI,291.98,2026-07-22,16.89,31.8,50.71,55.33,59.14,28.08
DPABHUSHAN,1386.05,2026-07-22,-3.37,19.34,50.05,19.64,-4.95,-17.31
BLUESTONE,776.05,2026-07-22,27.14,31.8,48.98,43.38,63.38,
MARC,113.95,2026-07-21,5.71,23.52,48.66,37.87,125.2,
RAMCOSYS,816.45,2026-07-22,1.6,-7.87,46.15,89.21,86.09,109.16
BNALTD,496.0,2026-07-22,-5.88,45.88,45.88,23.51,,
SWARAJ,363.75,2026-07-21,1.07,6.16,45.7,24.17,52.77,84.83
CBAZAAR,6.55,2026-07-21,1.55,5.65,45.56,32.32,72.37,32.32
SEL,253.25,2026-07-21,8.46,10.59,45.05,40.69,31.56,-0.69
BTTL,49.84,2026-07-22,1.18,-12.56,44.97,43.63,,
WALPAR,34.85,2026-07-21,0.0,1.01,44.91,-10.18,-24.07,-28.88
CYIENTDLM,698.15,2026-07-22,17.13,32.82,44.6,86.05,90.26,45.18
GAUDIUMIVF,158.16,2026-07-22,6.85,21.64,42.63,34.5,,
MPSLTD,2564.5,2026-07-22,24.39,26.91,42.39,47.39,40.19,7.11
SETL,287.85,2026-07-22,-0.07,3.71,42.26,108.95,129.62,61.24
AMIRCHAND,186.05,2026-07-21,-3.64,3.48,41.99,32.22,,
BAFNAPH,238.25,2026-07-22,4.04,14.16,41.66,80.31,103.08,167.7
KABRAEXTRU,341.0,2026-07-22,-3.03,8.03,41.21,34.43,51.29,12.06
CLSL,62.0,2026-07-21,3.16,31.91,40.91,40.11,29.17,14.29
SUPREMEENG,1.86,2026-07-22,3.33,12.73,40.91,64.6,32.86,24.0
TATVA,1664.9,2026-07-22,-2.85,19.66,39.83,26.0,30.77,60.8
OPTIEMUS,615.45,2026-07-22,1.39,6.13,39.24,43.95,49.82,3.81
CHAVDA,124.65,2026-07-21,4.53,19.34,38.81,19.34,11.39,-0.4
TBZ,264.37,2026-07-22,3.42,17.44,38.17,74.46,56.67,36.69
VELJAN,1730.0,2026-07-22,1.21,2.23,37.07,72.53,,
EMAMIPAP,118.63,2026-07-22,25.43,34.14,36.69,55.25,49.45,18.95
SHAREINDIA,190.73,2026-07-22,5.3,6.53,36.49,26.59,32.12,10.32
COUNCODOS,6.55,2026-07-22,-0.76,2.66,36.17,22.43,26.69,-2.82
UNIVPHOTO,474.9,2026-07-22,8.31,29.19,35.65,12.0,140.22,73.91
KAPSTON,464.45,2026-07-22,7.45,12.27,34.62,40.13,18.66,91.07
GANDHAR,236.19,2026-07-22,3.45,14.59,34.34,66.44,49.96,41.18
ECLERX,1946.9,2026-07-22,3.7,17.08,34.29,29.84,-10.44,4.25
SUMIT,53.91,2026-07-22,8.12,14.92,34.04,-3.13,3.34,-42.03
ZSARACOM,12429.0,2026-07-22,-3.53,-5.62,33.22,25.42,,
SKYGOLD,671.25,2026-07-22,1.96,7.71,32.47,59.29,114.29,96.79
ATHERENERG,1268.2,2026-07-22,-2.2,7.06,32.02,40.06,100.78,276.32
INDNIPPON,1213.7,2026-07-22,0.36,-1.81,31.77,52.63,67.61,53.32
JUSTDIAL,722.95,2026-07-22,-3.26,6.81,31.66,32.57,5.06,-16.44
M&MFIN,378.15,2026-07-22,17.24,13.66,31.54,28.78,7.27,45.61
GOLDTECH,58.45,2026-07-22,7.09,-8.66,31.26,45.07,28.94,-18.57
NURECA,311.13,2026-07-22,10.15,26.7,30.4,15.3,7.06,21.35
GANECOS,1199.35,2026-07-22,0.61,6.83,30.22,12.62,73.24,-21.15
FILATEX,71.73,2026-07-22,-1.02,11.42,30.21,64.67,63.25,21.47
MADHUSUDAN,231.45,2026-07-21,0.17,-8.34,30.21,49.56,75.34,56.49
IKIO,212.73,2026-07-22,-0.77,3.87,30.19,45.63,37.43,0.94
RPGLIFE,3004.9,2026-07-22,-0.4,6.45,29.98,54.42,36.93,17.56
MORARJEE,12.4,2026-07-21,0.0,21.21,29.84,66.89,72.22,66.44
DIACABS,269.14,2026-07-22,10.03,18.32,29.61,68.41,108.41,60.58
SERVICE,61.95,2026-07-21,-1.82,7.74,29.6,9.26,44.07,8.49
NRL,107.82,2026-07-22,-2.07,2.39,29.34,91.1,103.01,39.12
FEDDERSHOL,51.52,2026-07-22,6.53,16.53,29.22,44.52,,
CONSOFINVT,290.91,2026-07-22,2.78,12.01,29.05,30.23,89.62,45.96
PICCADIL,745.0,2026-07-22,-0.88,3.63,29.04,22.55,18.55,23.75
GSMFOILS,282.45,2026-07-21,1.36,5.65,29.0,34.15,48.66,45.74
JITFINFRA,372.1,2026-07-22,-3.61,4.05,28.98,17.16,56.94,3.74
UNIVASTU,119.53,2026-07-22,2.01,14.39,28.36,74.55,82.49,33.67
SRIVASAVI,85.9,2026-07-21,0.17,2.44,28.21,43.41,83.94,26.6
ONDOOR,242.55,2026-07-21,6.38,21.28,27.56,49.12,108.38,26.92
CLCIND,54.05,2026-07-21,0.0,4.99,27.54,117.86,-80.7,-80.7
ROXHITECH,41.6,2026-07-21,4.92,10.79,27.41,9.47,18.69,-7.76
PFOCUS,285.35,2026-07-22,0.44,5.87,27.16,-14.18,23.46,76.64
STYL,389.25,2026-07-22,4.09,5.83,27.1,52.53,61.35,
AEGISLOG,1351.3,2026-07-22,-2.36,4.46,27.0,90.4,106.33,80.68
UNIHEALTH,717.0,2026-07-21,0.0,-3.1,26.68,45.29,164.09,321.89
STALLION,250.63,2026-07-22,15.44,19.42,26.57,53.84,22.61,114.23
SCANSTL,47.95,2026-07-22,2.28,-4.14,26.52,41.65,,
NILKAMAL,1604.3,2026-07-22,8.66,18.83,26.43,23.09,17.77,-6.22
SMVD,14.6,2026-07-21,0.0,4.66,26.41,26.96,56.99,21.67
MASTER,450.0,2026-07-21,-3.23,7.32,26.39,37.91,46.08,12.1
SKMEGGPROD,314.05,2026-07-22,-1.66,-12.98,26.33,82.15,76.33,121.34
MAJESAUT,430.25,2026-07-22,2.15,20.27,25.97,,,
SHREEJISPG,626.1,2026-07-22,1.66,9.71,25.9,70.58,83.61,
SSFL,262.7,2026-07-21,-4.56,0.84,25.45,143.81,158.06,42.67
CEMPRO,1596.6,2026-07-22,-1.87,0.81,25.4,137.03,149.19,98.68
SATIPOLY,42.5,2026-07-21,3.41,19.38,25.37,25.0,-8.5,-52.78
MBAPL,139.25,2026-07-22,-4.33,4.82,25.31,37.3,69.51,62.36
LODHA,1161.0,2026-07-22,-2.31,-3.14,25.29,31.22,22.79,-19.24
PRAVEG,293.48,2026-07-22,6.54,23.23,25.12,14.6,,
VINSYS,512.5,2026-07-21,1.31,1.89,25.09,66.32,48.74,43.16
RITEZONE,21.55,2026-07-21,-4.86,-9.45,24.93,17.12,3.36,-2.05
SHALPAINTS,67.06,2026-07-22,14.09,26.65,24.32,28.44,3.12,-29.97
PAISALO,73.23,2026-07-22,2.55,1.29,23.95,59.02,124.15,130.95
RUBYMILLS,417.2,2026-07-22,6.17,9.47,23.87,77.19,113.19,75.58
KCK,16.9,2026-07-21,0.9,5.62,23.81,35.74,-21.58,-59.08
DCMSIL,83.05,2026-07-22,-3.94,6.01,23.76,28.13,,
GNA,517.25,2026-07-22,1.82,-2.27,23.58,13.95,51.49,53.88
FUSION,219.81,2026-07-22,-2.73,-7.31,23.5,18.73,24.74,20.31
THAKDEV,155.88,2026-07-22,6.42,22.47,23.48,14.96,,
INDSWFTLAB,233.07,2026-07-22,-0.39,-1.95,23.4,63.7,118.13,117.62
KONSTELEC,60.0,2026-07-21,-4.38,2.21,23.33,21.95,44.58,-10.04
PREMIERPOL,79.48,2026-07-22,7.42,21.16,23.07,42.18,65.89,50.69
MUTHOOTMF,250.24,2026-07-22,-1.2,1.6,23.0,32.04,37.1,50.58
FERMENTA,420.85,2026-07-22,-5.19,-5.44,22.84,33.71,,
SMARTLINK,214.46,2026-07-22,-0.35,15.52,22.64,54.29,81.06,42.03
INVPRECQ,923.6,2026-07-22,10.96,15.15,22.52,45.35,,
MMFL,552.1,2026-07-22,3.45,6.91,22.29,10.79,41.04,54.43
EVERESTIND,482.95,2026-07-22,-1.3,-5.93,22.14,17.49,16.33,-13.61
AVADHSUGAR,545.0,2026-07-22,2.56,3.0,21.91,16.06,70.25,15.65
CNL,909.55,2026-07-22,-2.29,-3.12,21.88,48.96,31.09,38.07
LAXMIINDIA,129.81,2026-07-22,10.24,19.65,21.83,10.28,32.65,
SSWL,279.69,2026-07-22,1.22,10.44,21.82,29.32,49.66,14.24
PANSARI,360.2,2026-07-22,1.01,0.38,21.79,30.93,22.31,39.77
GCSL,523.55,2026-07-22,0.8,2.52,21.65,51.11,76.31,
GODREJIND,1354.9,2026-07-22,-0.73,-1.99,21.47,43.66,34.8,18.39
TINNARUBR,1090.35,2026-07-22,-8.37,9.45,21.39,52.5,65.3,17.0
LOKESHMACH,344.0,2026-07-22,2.26,6.25,21.32,29.33,109.27,60.01
SUMICHEM,531.2,2026-07-22,-1.75,0.11,21.32,19.86,21.17,-10.11
INDOTECH,3412.9,2026-07-22,0.15,0.49,21.3,51.97,161.52,81.33
MENONBE,207.68,2026-07-22,-0.03,16.69,21.28,66.61,68.06,67.28
SPECTRUM,2134.5,2026-07-22,10.48,6.43,21.17,88.58,77.77,40.34
WANBURY,330.65,2026-07-22,-2.72,10.05,21.16,22.61,78.28,25.6
DPEL,576.2,2026-07-21,-0.65,-1.87,21.13,30.3,100.35,297.52
CAPTRUST,15.4,2026-07-22,10.16,21.74,21.07,14.5,-6.72,-78.16
KANORICHEM,153.34,2026-07-22,4.78,14.98,21.02,87.96,120.16,65.5
NAUKRI,1189.3,2026-07-22,-0.18,-0.15,20.8,12.98,-9.67,-17.95
MHHL,35.2,2026-07-21,-4.86,3.68,20.55,-17.76,-4.35,-38.41
SUVEN,319.35,2026-07-22,-5.66,-11.18,20.49,50.2,131.63,10.17
ADOR,1477.9,2026-07-22,1.55,12.77,20.48,45.17,45.69,37.2
GHCLTEXTIL,114.2,2026-07-22,0.03,4.04,20.38,33.73,61.8,24.61
ITDC,750.15,2026-07-22,-3.07,6.49,20.31,21.31,43.01,25.34
DSFCL,28.11,2026-07-22,10.19,19.92,20.31,15.31,,
QUESS,295.65,2026-07-22,0.24,-0.71,20.24,51.5,52.94,0.08
CHEMBONDCH,257.68,2026-07-22,1.6,0.94,20.16,69.28,72.72,
AEGISVOPAK,295.66,2026-07-22,5.21,-2.52,20.13,51.73,44.04,3.92
AGARWALFT,39.45,2026-07-21,0.0,-4.94,19.91,4.09,15.01,-29.36
RULKA,105.5,2026-07-21,-6.64,-10.52,19.89,-3.21,4.4,-21.56
ZENITHDRUG,50.4,2026-07-21,3.7,-4.0,19.86,11.14,7.69,-29.01
INDOBORAX,396.7,2026-07-22,-10.06,-8.46,19.77,70.01,76.24,82.37
JSFB,552.25,2026-07-22,3.88,13.46,19.74,22.33,42.66,12.27
SAKSOFT,169.03,2026-07-22,-4.85,-8.64,19.6,15.18,-1.56,-25.49
UYFINCORP,17.24,2026-07-22,1.06,3.23,19.56,20.81,34.37,-9.74
AKIKO,338.25,2026-07-21,0.65,18.66,19.54,49.14,52.81,393.44
VIPULLTD,13.42,2026-07-22,-9.69,-24.65,19.4,23.69,8.23,37.22
SIKKO,4.75,2026-07-22,-1.86,17.87,19.35,1.71,13.91,24.46
ARMANFIN,1936.6,2026-07-22,-0.37,-1.49,19.31,29.03,18.77,16.62
INDIAGLYCO,1140.55,2026-07-22,-0.23,4.81,19.3,16.73,35.58,29.26
AETHER,1462.8,2026-07-22,0.84,0.69,19.24,23.62,49.36,80.05
KECL,127.15,2026-07-22,4.54,8.76,19.22,-2.29,58.72,-6.34
FLUOROCHEM,4590.4,2026-07-22,6.35,17.72,19.19,40.23,41.24,29.21
MAGSON,190.65,2026-07-21,4.75,4.75,19.16,2.5,50.71,58.87
FROG,193.75,2026-07-21,4.99,14.88,19.16,21.59,36.73,-22.59
SUPREMEINF,89.78,2026-07-22,13.92,13.44,19.07,24.68,6.4,-29.67
IRISDOREME,46.68,2026-07-22,0.8,6.53,19.05,28.99,46.88,50.34
UTLSOLAR,378.35,2026-07-22,0.46,-5.67,19.05,45.64,80.06,
SCPL,582.6,2026-07-22,20.55,17.55,18.54,90.95,90.02,93.04
ARROWGREEN,713.45,2026-07-22,6.92,2.55,18.45,29.99,60.67,3.03
AARNAV,28.91,2026-07-22,-8.28,15.73,18.34,20.56,,
INDIANHUME,382.1,2026-07-22,-5.29,-5.99,18.06,16.94,3.96,-10.44
UNICHEMLAB,528.55,2026-07-22,-11.26,-11.46,18.02,42.85,39.06,-17.54
EXIDEIND,447.85,2026-07-22,2.56,5.77,18.0,26.92,34.63,14.14
RADIOWALLA,29.9,2026-07-21,1.7,21.3,17.95,-16.94,-45.93,-54.35
TCL,118.05,2026-07-21,-5.56,1.99,17.93,19.24,37.11,7.76
TAC,480.7,2026-07-21,-0.49,9.95,17.92,-8.46,-22.65,-45.55
FAIRCHEMOR,736.8,2026-07-22,5.15,6.61,17.82,30.02,11.96,-21.55
MODIS,408.0,2026-07-22,11.16,16.97,17.82,14.25,28.61,
SUMEETINDS,31.87,2026-07-22,-9.72,-2.33,17.51,6.23,15.05,27.98
SONACOMS,726.5,2026-07-22,1.67,8.3,17.33,23.82,55.83,54.56
CLEDUCATE,58.07,2026-07-22,0.12,0.12,17.31,17.77,-24.76,-37.79
MAPMYINDIA,1044.4,2026-07-22,-4.79,-11.86,17.29,8.21,-22.41,-43.54
HSCL,768.25,2026-07-22,-0.21,15.86,17.28,47.06,67.69,49.92
GRCL,607.4,2026-07-21,-0.03,-3.46,17.27,63.28,88.2,44.62
ARKADE,140.4,2026-07-22,1.69,-0.32,17.16,22.53,22.81,-32.42
AARVI,161.75,2026-07-22,3.35,5.98,17.14,23.65,33.07,55.13
CHENNPETRO,1307.8,2026-07-22,7.73,12.95,17.13,22.06,59.3,68.7
JINDWORLD,37.15,2026-07-22,17.75,24.79,17.12,42.17,50.53,-10.35
SYNOPTICS,76.35,2026-07-21,0.0,-6.89,17.1,24.45,41.39,-27.97
BHARATSE,219.02,2026-07-22,-0.94,-13.43,17.03,23.83,51.24,103.9
POLYPLEX,1115.05,2026-07-22,3.69,2.04,17.02,26.57,32.65,0.21
KAMDHENU,33.76,2026-07-22,0.3,5.34,16.9,47.81,53.87,15.11
THANGAMAYL,6476.0,2026-07-22,1.7,4.19,16.86,61.43,78.76,245.58
TTKPRESTIG,657.1,2026-07-22,-1.25,-1.28,16.53,29.94,12.86,4.22
GSPCROP,506.8,2026-07-22,3.45,17.33,16.53,22.25,,
UFLEX,490.7,2026-07-22,12.17,8.19,16.47,22.47,7.15,-17.16
BALRAMCHIN,624.75,2026-07-22,4.12,6.82,16.43,15.36,54.74,2.81
ELGIRUBCO,57.29,2026-07-22,-2.12,-0.09,16.4,8.5,32.99,0.51
ASAHISONG,299.4,2026-07-22,10.52,5.44,16.4,26.61,29.27,-31.04
OMNI,580.65,2026-07-22,4.81,6.03,16.32,55.47,,
PAYTM,1267.0,2026-07-22,-5.97,-8.62,16.31,9.02,0.52,20.55
INDUSINDBK,1069.3,2026-07-22,3.53,5.57,16.28,23.09,18.68,27.02
ONMOBILE,60.49,2026-07-22,-0.31,-14.97,16.15,9.8,19.0,11.63
BUTTERFLY,759.95,2026-07-22,0.23,-2.6,16.08,23.89,25.28,-1.2
MADHAVBAUG,204.5,2026-07-21,-1.21,8.83,15.93,6.26,-12.96,13.61
PPAP,290.48,2026-07-22,0.69,-21.94,15.92,36.04,43.43,25.52
RADHIKAJWE,65.66,2026-07-22,1.59,3.63,15.9,-2.54,-6.03,-31.05
BUILDPRO,1212.0,2026-07-22,-1.17,-6.65,15.82,3.25,79.62,
SANGAMIND,621.9,2026-07-22,0.13,-0.1,15.82,15.94,45.32,37.18
ANANTRAJ,616.35,2026-07-22,2.59,4.62,15.79,18.89,14.63,8.17
SHRIPISTON,4394.4,2026-07-22,3.79,5.13,15.76,22.5,55.56,81.73
GODREJPROP,2081.1,2026-07-22,-1.77,-3.77,15.69,13.58,28.43,-11.95
PNGJL,636.6,2026-07-22,7.88,6.39,15.69,-5.5,12.47,5.73
NINSYS,870.6,2026-07-22,-3.07,0.1,15.67,73.96,150.6,91.17
BEPL,120.06,2026-07-22,-6.03,11.06,15.62,18.09,48.64,10.85
TECHLABS,142.8,2026-07-21,0.35,-6.94,15.58,-37.3,-43.22,-71.1
SENCO,391.65,2026-07-22,7.01,2.8,15.55,18.72,25.93,8.57
VERTEXPLUS,48.3,2026-07-21,0.0,0.0,15.55,-45.73,-49.42,-64.12
WEWORK,715.15,2026-07-22,4.99,-3.5,15.37,31.64,21.03,
ARISTO,115.0,2026-07-21,0.0,15.17,15.35,16.16,5.22,-5.35
MENNPIS,75.38,2026-07-22,7.39,1.95,15.3,30.64,,
JUBLINGREA,743.75,2026-07-22,0.94,1.44,15.2,6.41,13.42,-8.55
WELCORP,1611.8,2026-07-22,-0.25,-0.5,15.15,41.96,113.04,76.73
NITIRAJ,219.81,2026-07-22,-1.31,20.7,15.14,7.27,24.43,6.82
AMAGI,611.85,2026-07-22,3.14,4.91,15.11,63.14,67.36,
CUPID,206.9,2026-07-22,-0.18,0.03,15.08,83.19,152.19,599.13
TIMETECHNO,203.1,2026-07-22,-4.7,8.55,15.01,5.48,15.31,-13.82
JLHL,1561.0,2026-07-22,0.19,6.65,14.99,20.89,17.21,6.33
COMMITTED,343.0,2026-07-21,4.38,1.48,14.95,34.56,87.07,56.62
NBIFIN,2149.7,2026-07-22,2.07,-4.88,14.94,0.81,0.65,-26.67
HOMESFY,122.85,2026-07-21,0.0,5.0,14.81,-12.25,-25.39,-55.49
ALGOQUANT,66.82,2026-07-22,3.85,8.97,14.81,21.18,5.13,
DIGITIDE,100.9,2026-07-22,1.41,-5.44,14.79,5.81,-10.08,-62.35
JFLLIFE,10.5,2026-07-21,-4.55,-0.94,14.75,14.75,1.94,-32.48
UJJIVANSFB,65.05,2026-07-22,-0.85,-2.72,14.73,11.22,4.99,37.85
GRETEX,304.0,2026-07-21,0.0,4.29,14.72,2.01,54.31,30.47
GABRIEL,1424.6,2026-07-22,1.9,12.62,14.71,38.06,54.9,45.17
KISSHT,339.05,2026-07-22,7.06,4.37,14.7,,,
KARURVYSYA,339.15,2026-07-22,12.67,9.97,14.69,12.88,28.64,51.66
3IINFOLTD,19.97,2026-07-22,6.68,6.91,14.64,11.81,33.94,-18.49
NUVOCO,359.7,2026-07-22,3.99,13.63,14.61,18.44,2.83,-11.16
OMAXE,89.5,2026-07-22,-3.32,-1.4,14.6,7.7,21.44,-12.74
PROLIFE,75.0,2026-07-21,0.0,-5.72,14.42,13.38,14.5,-49.27
LANDMARK,519.25,2026-07-22,-3.01,22.78,14.41,22.23,43.78,1.25
MOSCHIP,243.88,2026-07-22,4.32,4.75,14.37,18.53,37.51,41.59
ONELIFECAP,37.28,2026-07-22,3.07,-1.95,14.36,143.98,141.29,183.5
DENTALKART,431.5,2026-07-21,2.68,16.2,14.35,19.71,-28.15,-31.54
EMPOWER,2.33,2026-07-22,1.3,6.39,14.22,41.21,,
SWANDEF,2399.6,2026-07-22,6.09,6.43,14.11,28.52,37.24,683.54
NOVARTIND,1699.8,2026-07-22,1.91,2.1,13.95,71.72,152.85,152.85
BLSE,260.09,2026-07-22,-4.68,-2.06,13.89,45.37,50.83,42.27
NITTAGELA,1836.5,2026-07-22,-1.49,-4.81,13.8,,,
MEGATHERM,221.05,2026-07-21,-1.71,-2.04,13.77,-14.98,10.89,-34.31
SIGNPOST,292.45,2026-07-22,-8.58,-8.94,13.71,5.48,43.6,22.4
SUDARSCHEM,1030.4,2026-07-22,-2.3,-0.74,13.66,13.13,14.87,-17.62
HESTERBIO,2431.0,2026-07-22,-3.66,-4.06,13.61,63.93,70.15,30.29
ICEMAKE,878.9,2026-07-22,4.96,14.94,13.6,9.11,19.81,8.68
