ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11450.55,2026-09-18,84343.58,82754.92,81631.26,80198.38,80311.17,7508.84
MBECL,401.59,2026-09-18,21.55,47.74,514.05,514.05,514.05,514.05
BODALCHEM,191.23,2026-09-18,10.92,11.71,177.95,184.19,305.23,186.44
MONQ50,396.3,2026-09-18,83.18,141.51,162.1,177.5,312.9,344.53
TBZ,603.55,2026-09-18,14.68,14.11,142.06,220.39,351.35,219.8
XTRANET,312.16,2026-09-18,15.04,11.55,84.74,,,
ROLLT,5.71,2026-09-18,20.21,24.67,80.7,76.23,346.09,326.12
SHANTIGEAR,700.05,2026-09-18,-2.08,9.38,79.98,55.66,56.17,25.76
GFSTEELS,25.44,2026-09-18,21.43,69.6,69.6,86.92,105.83,161.46
STLNETWORK,42.95,2026-09-18,17.35,41.7,67.25,50.97,130.42,41.7
BHAGERIA,334.75,2026-09-18,5.58,4.66,64.69,49.53,128.75,77.99
PENTAGON,86.95,2026-09-16,-6.51,-3.92,64.37,58.09,40.24,61.02
RAMBHAJO,290.85,2026-09-18,8.01,5.26,62.26,,,
CORDSCABLE,364.15,2026-09-18,-2.48,16.21,62.02,63.68,139.12,104.66
INDORAMA,91.05,2026-09-18,5.26,23.78,60.27,95.3,176.16,69.49
AHCL,22.9,2026-09-18,17.02,47.93,56.53,45.4,100.68,72.23
RAYMOND,978.0,2026-09-18,-2.47,26.62,56.48,65.97,159.49,56.54
GENESYS,285.19,2026-09-18,-7.35,18.75,56.44,-18.49,3.18,-50.63
DSKULKARNI,22.71,2026-09-18,8.14,14.7,55.02,67.6,67.6,67.6
QUADFUTURE,528.2,2026-09-18,10.39,27.08,54.9,24.53,72.11,20.88
MASPTOP50,124.48,2026-09-18,32.47,44.91,53.64,57.35,80.96,84.2
KALYANIFRG,975.25,2026-09-18,-4.54,-5.04,53.46,60.09,70.39,41.68
DCG,83.95,2026-09-16,-5.78,25.96,52.78,44.74,53.05,24.74
SHIVALIK,372.1,2026-09-18,2.78,17.44,52.53,69.44,47.78,-22.74
