ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,12090.3,2026-08-05,84684.71,86568.82,85707.66,84447.55,7785.66,8275.68
RSDFIN,160.46,2026-08-05,20.76,95.68,100.58,83.38,,
UEL,223.2,2026-08-05,21.0,84.52,71.31,41.2,41.88,106.79
DIACABS,332.2,2026-08-05,2.9,8.15,67.03,98.54,166.29,99.16
KABRAEXTRU,454.4,2026-08-05,8.55,12.25,66.48,86.7,78.08,74.2
SHALPAINTS,86.19,2026-08-05,7.72,23.89,66.33,66.62,40.97,10.1
UNIVASTU,146.93,2026-08-05,4.97,17.66,66.19,101.05,132.63,69.7
FERMENTA,551.1,2026-08-05,7.7,24.67,60.67,85.4,,
E2E,598.65,2026-08-05,10.25,10.35,56.71,101.38,152.93,180.12
SCANSTL,65.54,2026-08-05,9.95,35.78,56.57,81.05,,
SHARDUL,43.56,2026-08-05,-0.05,-14.47,55.68,44.05,,
VIJIFIN,10.82,2026-08-05,3.94,14.5,55.68,169.83,339.84,140.44
DPABHUSHAN,1495.2,2026-08-05,5.28,5.87,54.57,43.91,24.27,-9.21
ASAHISONG,385.6,2026-08-05,-1.47,13.46,52.38,58.48,64.9,21.96
MPSLTD,2873.7,2026-08-05,3.72,6.94,51.56,75.13,73.77,28.19
BLUESTONE,856.0,2026-08-05,6.64,4.29,50.27,74.16,94.08,
NURECA,343.95,2026-08-05,3.16,8.95,50.22,22.49,22.34,45.24
SMLMAH,5917.5,2026-08-05,8.3,51.58,49.52,62.63,57.05,66.3
SUPREMEENG,2.21,2026-08-05,3.76,13.33,49.32,116.67,74.02,64.93
KALYANKJIL,569.5,2026-08-05,-6.33,0.87,49.06,40.06,51.4,-4.81
CNL,1131.65,2026-08-05,11.39,10.96,48.01,81.72,60.26,82.35
MENONBE,232.86,2026-08-05,5.32,7.08,48.01,86.5,100.58,76.04
GSPCROP,593.3,2026-08-05,0.93,6.59,46.93,36.67,,
CAPTRUST,19.03,2026-08-05,-0.21,23.73,45.6,46.72,23.49,-67.43
FILATEX,81.36,2026-08-05,6.08,9.0,45.42,79.76,66.07,49.5
MAJESAUT,487.9,2026-08-05,2.65,13.69,44.52,54.37,,
OMNI,732.6,2026-08-05,21.63,18.23,44.03,74.39,,
ARIHANT,1136.6,2026-08-05,-0.11,5.1,43.64,24.72,2766.58,2766.58
KCPSUGIND,31.47,2026-08-05,-3.44,-1.9,43.31,17.64,41.82,-2.69
MASTER,500.25,2026-08-04,4.35,13.44,42.95,55.21,56.49,42.1
SIKKO,5.38,2026-08-05,0.19,7.17,42.71,15.7,26.59,47.22
CLSL,66.0,2026-08-04,-0.3,2.96,42.7,51.72,27.05,17.86
NILKAMAL,1801.3,2026-08-05,5.97,1.47,42.23,41.43,23.99,14.01
AARTISURF,541.15,2026-08-05,12.51,35.86,41.42,27.66,28.43,-2.93
TBZ,272.1,2026-08-05,-5.42,-2.9,41.26,81.29,73.1,29.02
FSL,339.45,2026-08-05,4.66,29.45,41.24,55.26,16.08,-2.62
3IINFOLTD,25.09,2026-08-05,2.87,21.32,40.96,46.9,63.77,8.8
ASKAUTOLTD,637.55,2026-08-05,11.92,24.39,40.74,39.47,38.7,35.75
KAPSTON,532.85,2026-08-05,1.32,15.79,40.24,56.1,33.2,104.42
CHAVDA,129.15,2026-08-04,0.62,2.05,39.92,21.5,15.0,13.69
YASHO,4157.5,2026-08-05,7.02,34.46,39.87,178.49,197.1,126.19
TFCILTD,110.77,2026-08-05,4.88,16.85,39.79,46.0,64.96,101.91
KCK,18.25,2026-08-04,-0.54,5.49,39.31,18.89,-13.3,-56.8
DEEPINDS,643.6,2026-08-05,-0.88,24.62,38.99,34.21,55.53,21.5
SWASTIK,20.35,2026-08-04,1.5,7.11,38.91,-12.66,-3.1,-38.8
SIGNORIA,154.9,2026-08-04,4.66,14.74,38.43,140.9,80.75,45.65
TATVA,1720.8,2026-08-05,-2.83,-4.41,37.71,29.79,45.87,51.42
JFLLIFE,13.9,2026-08-04,4.91,23.56,37.62,55.31,31.75,3.73
BUILDPRO,1347.8,2026-08-05,0.31,10.54,37.26,21.4,63.33,
KONSTELEC,63.0,2026-08-04,0.32,1.61,37.11,53.47,45.16,1.61
STALLION,267.95,2026-08-05,0.94,4.87,36.86,69.94,70.77,94.6
OCCLLTD,171.36,2026-08-05,-1.7,12.59,36.05,70.07,82.59,23.28
SPECTRUM,2514.2,2026-08-05,-1.3,14.12,35.67,117.02,101.57,64.18
21STCENMGM,42.6,2026-08-05,3.98,12.55,35.45,18.46,5.94,-26.2
