ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11844.05,2026-07-27,83485.39,83426.44,83662.73,81246.49,7567.04,7978.61
SHARDUL,50.93,2026-07-27,-5.48,26.31,75.44,76.23,,
VIJIFIN,9.45,2026-07-27,10.14,21.15,73.08,141.69,278.0,139.85
KABRAEXTRU,404.8,2026-07-27,15.11,28.24,65.21,64.17,101.39,39.2
ACCORD,202.35,2026-07-24,0.0,-0.07,59.39,360.41,633.15,789.45
HUHTAMAKI,312.61,2026-07-27,25.15,41.11,58.69,73.72,75.12,44.55
TIRUPATIFL,75.31,2026-07-27,7.65,9.03,55.73,69.12,133.16,89.17
BLUESTONE,820.75,2026-07-27,34.46,39.39,53.94,51.85,82.02,
TATVA,1800.1,2026-07-27,5.04,29.37,52.46,35.67,60.92,57.27
SANGINITA,62.86,2026-07-27,10.36,21.8,51.21,204.41,451.89,527.97
TBZ,280.22,2026-07-27,9.62,24.48,50.92,87.21,76.46,49.92
KALYANKJIL,564.6,2026-07-27,-0.95,10.56,49.44,36.49,53.05,-4.67
SWARAJ,367.55,2026-07-24,2.13,7.27,49.35,26.92,53.56,84.93
SEL,273.0,2026-07-24,16.92,19.21,48.94,59.18,46.77,9.2
DIACABS,307.17,2026-07-27,25.58,35.04,48.91,85.5,149.43,88.6
VELJAN,1804.3,2026-07-27,5.55,6.62,48.86,73.09,,
AEROPLANE,189.26,2026-07-27,-1.97,5.26,48.63,38.66,,
DPABHUSHAN,1412.35,2026-07-27,-1.53,21.6,48.16,26.46,6.01,-15.85
MPSLTD,2687.1,2026-07-27,30.34,32.98,48.04,58.03,48.53,14.16
UNIVASTU,124.88,2026-07-27,6.58,19.51,46.66,80.36,94.82,38.96
KCPSUGIND,32.08,2026-07-27,47.77,46.02,44.96,23.96,43.28,-7.48
WALPAR,34.85,2026-07-24,0.0,1.01,44.91,-8.29,-24.07,-31.67
CYIENTDLM,665.05,2026-07-27,11.58,26.52,43.02,66.22,89.99,44.76
MBAPL,163.95,2026-07-27,12.64,23.41,42.14,57.8,104.79,91.16
FILATEX,74.64,2026-07-27,2.99,15.94,41.58,65.61,78.22,26.23
SUPREMEENG,1.95,2026-07-27,8.33,18.18,41.3,93.07,46.62,30.0
NILKAMAL,1775.2,2026-07-27,20.24,31.49,41.21,34.78,30.62,0.33
STALLION,255.5,2026-07-27,17.69,21.74,40.35,59.03,34.94,108.57
GANDHAR,245.47,2026-07-27,7.51,19.09,40.15,72.5,61.8,47.79
KONSTELEC,64.35,2026-07-24,2.55,9.63,39.89,52.13,51.59,-3.45
CNL,1019.9,2026-07-27,9.56,8.64,39.41,67.77,47.42,55.29
