ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11785.5,2026-07-24,83072.19,83013.54,83485.1,80018.97,7600.42,7861.56
SHARDUL,53.61,2026-07-24,-0.5,32.96,88.11,93.54,,
VIJIFIN,9.27,2026-07-24,8.04,18.85,78.27,135.28,272.29,123.37
ACCORD,202.35,2026-07-23,0.0,-0.07,67.3,360.41,633.15,789.45
HUHTAMAKI,318.68,2026-07-24,27.58,43.85,59.76,79.8,77.87,43.25
GANDHAR,282.46,2026-07-24,23.71,37.04,57.41,105.9,74.04,69.26
KABRAEXTRU,376.8,2026-07-24,7.15,19.37,57.14,56.58,79.05,25.14
MPSLTD,2769.7,2026-07-24,34.35,37.07,52.55,71.8,53.97,18.34
KALYANKJIL,573.55,2026-07-24,0.62,12.32,52.46,41.51,56.2,-6.16
SANGINITA,61.63,2026-07-24,8.2,19.41,51.2,192.5,443.0,494.88
TIRUPATIFL,73.61,2026-07-24,5.22,6.57,51.15,61.39,117.4,77.33
SWARAJ,364.65,2026-07-23,1.32,6.42,47.75,25.61,52.35,83.61
SIGNORIA,135.0,2026-07-23,3.85,-9.85,47.54,117.39,47.86,26.17
BLUESTONE,772.4,2026-07-24,26.54,31.18,45.61,41.44,69.05,
WALPAR,34.85,2026-07-23,0.0,1.01,44.91,-8.29,-24.07,-32.0
SEL,265.5,2026-07-23,13.7,15.94,44.84,47.5,42.74,6.2
DIACABS,295.15,2026-07-24,20.66,29.76,44.38,82.51,139.18,78.8
AMIRCHAND,189.37,2026-07-23,-1.92,5.32,43.88,37.83,,
CYIENTDLM,670.45,2026-07-24,12.48,27.55,43.57,79.75,86.37,43.18
TATVA,1722.4,2026-07-24,0.51,23.79,42.8,35.63,48.92,69.79
VELJAN,1743.8,2026-07-24,2.01,3.05,42.22,78.3,,
SUPREMEENG,1.92,2026-07-24,6.67,16.36,41.18,81.13,37.14,28.0
DPABHUSHAN,1328.05,2026-07-24,-7.41,14.34,39.92,19.12,-3.22,-20.7
UNIVASTU,123.68,2026-07-24,5.56,18.37,39.63,80.45,88.19,34.67
SHAREINDIA,191.57,2026-07-24,5.76,7.0,39.28,32.28,34.89,9.77
TAC,529.7,2026-07-23,9.66,21.16,39.19,5.38,-20.7,-39.23
SUMIT,54.72,2026-07-24,9.75,16.65,38.74,2.61,10.06,-41.04
EMAMIPAP,118.18,2026-07-24,24.95,33.63,38.13,60.81,51.24,20.93
FILATEX,73.83,2026-07-24,1.88,14.68,37.38,78.29,72.74,28.41
GAUDIUMIVF,151.9,2026-07-24,2.62,16.83,37.04,22.12,,
TBZ,258.89,2026-07-24,1.28,15.01,36.63,77.1,58.41,34.36
FROG,207.45,2026-07-23,12.41,23.01,36.03,28.06,46.56,-16.95
GANECOS,1209.4,2026-07-24,1.45,7.73,35.96,19.92,77.16,-18.63
GOLDTECH,58.72,2026-07-24,7.59,-8.24,35.8,48.77,39.41,-16.39
BNALTD,461.1,2026-07-24,-12.5,35.62,35.62,10.81,,
PFOCUS,289.29,2026-07-24,1.82,7.34,35.18,-5.74,32.99,89.15
CBAZAAR,6.35,2026-07-23,-1.55,2.42,35.11,28.28,67.11,29.59
CLSL,59.25,2026-07-23,-1.41,26.06,34.97,28.8,14.27,7.63
UNIHEALTH,795.9,2026-07-23,11.0,7.56,34.84,61.69,192.29,352.22
COUNCODOS,6.4,2026-07-24,-3.03,0.31,34.74,23.08,23.79,-4.48
NILKAMAL,1676.1,2026-07-24,13.53,24.15,34.36,30.29,22.73,-2.22
CNL,987.0,2026-07-24,6.03,5.13,33.57,68.19,42.06,49.65
ECLERX,1861.5,2026-07-24,-0.85,11.94,33.53,26.81,-13.9,1.77
CHAVDA,121.0,2026-07-23,1.47,15.84,32.97,16.35,3.46,-2.38
MARC,117.85,2026-07-23,9.32,27.75,32.94,32.42,140.02,
SHALPAINTS,68.9,2026-07-24,17.22,30.12,32.81,37.52,15.08,-25.34
JUSTDIAL,728.95,2026-07-24,-2.46,7.7,32.32,38.22,13.08,-15.58
ZSARACOM,12364.5,2026-07-24,-4.03,-6.11,31.54,30.06,,
UYFINCORP,18.57,2026-07-24,8.85,11.2,31.42,30.87,48.09,-0.91
PICCADIL,737.2,2026-07-24,-1.92,2.55,31.0,17.46,22.33,19.15
KONSTELEC,61.3,2026-07-23,-2.31,4.43,30.43,37.91,44.41,-9.85
SKYGOLD,653.7,2026-07-24,-0.71,4.89,29.86,58.45,116.82,112.34
MAPMYINDIA,1117.1,2026-07-24,1.83,-5.72,29.68,21.18,-14.43,-39.15
RPGLIFE,2937.0,2026-07-24,-2.65,4.04,29.59,45.89,38.88,17.86
MBAPL,148.25,2026-07-24,1.86,11.59,29.48,46.38,81.73,70.99
ASAHISONG,332.95,2026-07-24,22.91,17.26,29.46,49.18,41.35,-23.96
SPECTRUM,2281.6,2026-07-24,18.1,13.77,29.18,101.25,92.65,47.49
PREMIERPOL,79.3,2026-07-24,7.18,20.88,29.09,48.09,72.13,51.47
MASTER,440.0,2026-07-23,-5.38,4.94,29.03,34.84,42.7,9.61
UNIVPHOTO,475.75,2026-07-24,8.51,29.42,28.62,14.54,142.19,77.37
BAFNAPH,238.15,2026-07-24,4.0,14.11,28.45,75.08,93.44,168.16
KANORICHEM,161.75,2026-07-24,10.53,21.29,28.37,100.86,136.03,77.34
MORARJEE,12.4,2026-07-23,0.0,21.21,28.36,66.89,72.22,66.44
CONSOFINVT,286.42,2026-07-24,1.19,10.28,28.31,30.33,71.34,37.38
SHREEJISPG,625.8,2026-07-24,1.62,9.65,28.19,67.68,95.47,
STALLION,241.9,2026-07-24,11.42,15.26,27.9,53.29,22.54,112.81
VERTEXPLUS,48.3,2026-07-23,0.0,0.0,27.78,-48.31,-49.69,-64.12
IKIO,204.82,2026-07-24,-4.45,0.0,27.71,44.41,37.1,-1.21
AEGISLOG,1349.6,2026-07-24,-2.48,4.33,27.65,89.89,108.3,80.34
MENONBE,213.77,2026-07-24,2.9,20.12,27.41,81.68,76.84,79.06
THANGAMAYL,6906.5,2026-07-24,8.46,11.12,27.13,82.29,94.11,269.55
INDNIPPON,1198.0,2026-07-24,-0.94,-3.08,26.94,52.56,72.12,54.69
OPTIEMUS,599.95,2026-07-24,-1.16,3.46,26.92,48.91,56.42,3.18
ORIENTLTD,89.29,2026-07-24,26.72,21.09,26.63,42.2,36.78,1.49
GCSL,531.0,2026-07-24,2.23,3.97,26.54,56.71,76.39,
NURECA,301.64,2026-07-24,6.79,22.83,26.42,12.19,7.02,19.82
AEGISVOPAK,292.64,2026-07-24,4.13,-3.51,26.42,55.66,45.54,8.89
SMVD,14.6,2026-07-23,0.0,4.66,26.41,26.96,56.99,21.67
KCPSUGIND,27.85,2026-07-24,28.28,26.76,25.96,9.56,20.25,-20.39
INVPRECQ,979.85,2026-07-24,17.72,22.16,25.86,60.91,,
LAXMIINDIA,129.12,2026-07-24,9.66,19.02,25.86,13.2,38.27,
STYL,384.45,2026-07-24,2.81,4.53,25.82,60.29,59.13,
GSPCROP,530.5,2026-07-24,8.29,22.82,25.8,28.53,,
EVERESTIND,524.25,2026-07-24,7.14,2.11,25.72,35.36,24.1,-5.19
NRL,105.0,2026-07-24,-4.63,-0.28,25.39,92.1,104.16,37.58
BLSE,282.32,2026-07-24,3.47,6.31,25.39,59.43,71.51,50.68
NIBL,36.98,2026-07-24,5.75,16.95,25.06,22.21,18.87,40.98
KAMDHENU,36.14,2026-07-24,7.37,12.76,24.97,65.48,71.44,20.9
OMNI,612.0,2026-07-24,10.47,11.75,24.94,45.45,,
UTLSOLAR,383.8,2026-07-24,1.91,-4.31,24.81,26.99,86.38,
KAPSTON,460.7,2026-07-24,6.58,11.36,24.72,35.94,12.32,91.19
SCANSTL,49.79,2026-07-24,6.21,-0.46,24.69,35.48,,
MAJESAUT,422.8,2026-07-24,0.38,18.18,24.63,34.86,,
KCK,16.2,2026-07-23,-3.28,1.25,24.14,23.66,-22.86,-60.49
SUVEN,316.0,2026-07-24,-6.65,-12.11,24.07,56.4,135.7,10.14
UNICHEMLAB,537.35,2026-07-24,-9.78,-9.98,23.94,44.31,44.9,-15.21
ADOR,1493.9,2026-07-24,2.65,14.0,23.88,54.92,51.61,43.07
LOTUSDEV,180.39,2026-07-24,27.95,24.87,23.78,24.57,18.29,
UJJIVANSFB,70.72,2026-07-24,7.79,5.76,23.59,24.53,12.15,54.71
E2E,516.7,2026-07-24,21.53,33.53,23.55,77.99,154.47,129.42
SSWL,288.31,2026-07-24,4.34,13.84,23.44,38.68,60.55,17.71
HEG,643.15,2026-07-24,8.83,12.41,23.02,-1.02,22.29,22.29
SRIVASAVI,82.3,2026-07-23,-4.02,-1.85,23.02,37.86,76.23,19.62
MADHUSUDAN,236.3,2026-07-23,2.27,-6.42,22.66,65.24,80.38,62.41
MMFL,551.85,2026-07-24,3.4,6.86,22.5,11.62,47.16,54.23
VINSYS,518.1,2026-07-23,2.42,3.0,22.48,60.06,45.02,45.53
JINDWORLD,37.83,2026-07-24,19.9,27.07,22.47,53.53,58.55,-6.43
TIPSFILMS,409.15,2026-07-24,25.53,24.0,22.26,6.4,4.07,-23.32
ITDC,737.4,2026-07-24,-4.72,4.68,22.25,26.06,47.17,23.55
ATHERENERG,1208.7,2026-07-24,-6.79,2.03,22.08,36.89,94.58,265.61
LODHA,1144.1,2026-07-24,-3.73,-4.55,21.99,36.09,27.08,-13.44
KISSHT,340.15,2026-07-24,7.4,4.71,21.9,,,
INDIANHUME,387.15,2026-07-24,-4.04,-4.75,21.87,21.38,5.05,-8.49
CLEDUCATE,60.9,2026-07-24,5.0,5.0,21.8,25.13,-15.45,-33.92
BEPL,121.81,2026-07-24,-3.86,13.63,21.76,24.58,52.94,15.51
INDIAGLYCO,1157.8,2026-07-24,1.28,6.4,21.74,20.2,43.71,33.8
BUILDPRO,1236.2,2026-07-24,0.81,-4.79,21.73,13.0,86.31,
SERVICE,61.0,2026-07-23,-3.33,6.09,21.64,11.93,48.78,10.41
SETL,272.7,2026-07-24,-5.33,-1.75,21.6,97.32,124.48,53.28
AZAD,2439.0,2026-07-24,3.98,2.54,21.53,16.69,75.32,53.55
CLCIND,54.05,2026-07-23,0.0,4.99,21.49,117.86,-80.7,-80.7
SGMART,713.55,2026-07-24,5.27,14.59,21.31,31.35,104.28,
IGCL,74.55,2026-07-24,5.68,-1.15,21.26,22.21,13.9,-34.63
SKMEGGPROD,324.75,2026-07-24,1.69,-10.02,21.18,90.98,80.87,120.0
TARSONS,312.75,2026-07-24,11.16,-1.0,21.1,51.11,57.05,-18.3
SIGNPOST,309.4,2026-07-24,-3.28,-3.66,21.1,18.28,49.07,30.92
PPAP,290.38,2026-07-24,0.66,-21.97,20.8,37.89,46.86,20.07
GNA,507.0,2026-07-24,-0.2,-4.2,20.8,18.95,49.02,50.96
RUBYMILLS,407.35,2026-07-24,3.66,6.89,20.79,79.6,113.02,67.7
PANSARI,355.2,2026-07-24,-0.39,-1.02,20.75,12.25,20.69,43.52
SAKSOFT,168.3,2026-07-24,-5.26,-9.04,20.71,21.81,0.78,-23.36
MADHAVBAUG,206.35,2026-07-23,-0.31,9.82,20.67,5.82,-11.82,11.75
THAKDEV,155.7,2026-07-24,6.3,22.33,20.45,12.01,,
GHCLTEXTIL,115.82,2026-07-24,1.45,5.51,20.34,36.35,64.93,24.95
FAIRCHEMOR,768.1,2026-07-24,9.62,11.14,20.31,38.51,17.73,-17.84
SHIVALIK,253.76,2026-07-24,15.45,17.89,20.18,-3.77,-19.54,-54.53
DSFCL,27.93,2026-07-24,9.49,19.16,20.15,13.52,,
PNGJL,647.0,2026-07-24,9.64,8.13,19.96,-2.85,16.04,8.42
JFLLIFE,10.85,2026-07-23,-1.36,2.36,19.89,13.61,7.96,-29.32
CELLPOINT,19.0,2026-07-23,24.59,20.25,19.87,11.11,15.5,2.15
FUSION,216.48,2026-07-24,-4.2,-8.71,19.64,22.41,22.48,22.01
JGCHEM,505.35,2026-07-24,3.3,11.22,19.62,26.32,63.52,3.7
SIKKO,4.7,2026-07-24,-2.89,16.63,19.59,1.95,13.8,23.13
SATIPOLY,38.6,2026-07-23,-6.08,8.43,19.32,13.53,-9.18,-57.11
ARROWGREEN,708.9,2026-07-24,6.23,1.9,19.21,34.72,66.68,-2.75
SGFIN,696.05,2026-07-24,3.59,12.8,19.17,30.37,85.24,
HSCL,789.55,2026-07-24,2.55,19.07,19.09,39.65,76.95,54.12
GSMFOILS,271.55,2026-07-23,-2.55,1.57,19.02,37.84,39.58,34.7
AVADHSUGAR,525.35,2026-07-24,-1.14,-0.71,18.99,10.54,64.31,14.21
CUPID,213.43,2026-07-24,2.97,3.19,18.92,88.73,168.67,625.06
WANBURY,331.9,2026-07-24,-2.35,10.47,18.92,28.53,86.6,32.79
CAPTRUST,14.65,2026-07-24,4.79,15.81,18.91,12.78,-13.67,-78.74
SCPL,570.85,2026-07-24,18.12,15.18,18.84,76.27,89.18,91.02
ESCONET,139.55,2026-07-23,5.76,15.33,18.72,4.81,14.95,-30.22
BHARATSE,218.14,2026-07-24,-1.34,-13.77,18.69,28.25,56.94,104.84
CEMPRO,1441.0,2026-07-24,-11.43,-9.01,18.68,122.74,131.13,83.9
NBIFIN,2216.5,2026-07-24,5.24,-1.93,18.58,9.9,3.09,-23.84
PAISALO,70.17,2026-07-24,-1.74,-2.95,18.51,51.03,114.92,98.62
LOKESHMACH,339.0,2026-07-24,0.77,4.71,18.32,27.77,119.23,63.26
AKIKO,332.0,2026-07-23,-1.21,16.47,18.15,48.75,54.2,346.24
QUESS,295.4,2026-07-24,0.15,-0.79,18.12,57.44,56.57,1.21
ARIHANT,1021.7,2026-07-24,18.71,25.11,18.05,8.8,2476.8,2476.8
PAYTM,1283.2,2026-07-24,-4.77,-7.45,18.02,11.84,12.68,16.0
FERMENTA,432.05,2026-07-24,-2.67,-2.92,17.97,35.69,,
MANAKCOAT,126.02,2026-07-24,-1.81,-0.19,17.9,18.99,-0.64,-24.46
DPEL,569.5,2026-07-23,-1.8,-3.01,17.85,29.51,97.74,313.28
JLHL,323.2,2026-07-24,3.72,10.41,17.84,29.67,22.39,10.73
BANARBEADS,121.95,2026-07-24,3.6,3.44,17.74,9.64,14.52,3.08
ESAFSFB,38.69,2026-07-24,9.26,9.2,17.71,65.7,35.37,19.86
INDOTECH,3418.0,2026-07-24,0.3,0.64,17.65,42.24,178.0,89.67
JKPAPER,401.45,2026-07-24,7.93,8.78,17.54,8.0,26.22,6.24
INDOBORAX,416.1,2026-07-24,-5.66,-3.98,17.5,85.44,86.15,56.26
INDSWFTLAB,227.49,2026-07-24,-2.78,-4.3,17.37,65.57,107.51,118.74
ALGOQUANT,68.41,2026-07-24,6.33,11.56,17.36,25.41,9.97,
M&MFIN,356.5,2026-07-24,10.53,7.15,17.27,23.82,1.07,40.66
MODIS,392.1,2026-07-24,6.82,12.41,17.11,8.63,26.55,
TIMEX,578.85,2026-07-24,2.01,0.36,17.02,71.28,,
