ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11977.25,2026-07-15,84365.8,84187.47,84485.1,81544.51,7640.24,7978.0
ACCORD,206.55,2026-07-14,2.0,15.81,139.9,466.67,611.02,805.92
SIGNORIA,156.45,2026-07-14,4.47,33.21,126.25,149.52,78.8,36.1
VIJIFIN,8.1,2026-07-15,3.85,14.41,107.69,144.71,180.28,224.0
VIPULLTD,17.32,2026-07-15,-2.75,17.82,84.45,71.15,38.67,69.31
SRIVASAVI,86.7,2026-07-14,3.4,0.76,73.23,57.78,80.62,30.08
SETL,285.5,2026-07-15,2.86,6.65,68.99,112.6,109.96,54.14
SHARDUL,46.56,2026-07-15,15.48,62.8,68.57,,,
MADHUSUDAN,239.9,2026-07-14,-4.99,-5.2,65.39,53.34,107.8,61.01
CHEMBONDCH,262.54,2026-07-15,2.84,9.35,53.05,70.64,82.33,
VELJAN,1836.6,2026-07-15,8.53,6.39,51.99,,,
UNIHEALTH,716.8,2026-07-14,-3.13,9.29,51.45,63.28,149.67,311.95
SANGINITA,53.69,2026-07-15,4.03,14.82,51.15,139.9,375.98,419.25
COUNCODOS,7.36,2026-07-15,15.36,46.32,51.13,39.39,33.09,6.2
BTTL,53.58,2026-07-15,-6.0,-2.33,50.93,,,
CBAZAAR,6.25,2026-07-14,0.81,5.04,50.6,25.0,71.23,25.0
JUSTDIAL,804.05,2026-07-15,18.79,46.89,48.9,47.83,11.72,-14.57
RAMCOSYS,815.45,2026-07-15,-7.98,-7.29,48.76,88.96,69.69,108.24
WALPAR,34.5,2026-07-14,0.0,2.37,48.71,-18.34,-24.84,-25.97
TIRUPATIFL,68.99,2026-07-15,-0.12,-3.9,47.48,54.69,94.67,56.44
GNA,549.9,2026-07-15,3.9,16.18,47.36,24.82,54.53,68.26
EVERESTIND,513.2,2026-07-15,-0.04,3.94,47.11,27.09,17.71,-9.16
WTICAB,134.65,2026-07-14,6.74,10.41,46.6,32.07,3.58,-9.14
KONSTELEC,61.6,2026-07-14,4.94,33.62,46.32,59.17,31.48,-6.95
