ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
SHYAMTEL,22.62,2026-04-30,15.64,111.4,175.85,118.76,74.27,72.02
INDOTECH,2702.3,2026-04-30,14.51,40.9,144.57,102.43,60.7,18.8
LLOYDS,93.15,2026-04-30,-3.92,8.95,134.63,60.6,14.29,12.36
SILKFLEX,227.1,2026-04-30,15.75,47.61,119.63,129.39,168.76,224.43
IBULLSLTD,19.73,2026-04-30,14.31,16.13,115.86,85.43,-7.07,
DISHTV,3.82,2026-04-30,-1.29,-1.55,107.61,9.77,-14.73,-20.75
SEJALLTD,843.35,2026-04-30,4.77,29.52,99.77,20.31,-7.56,118.26
IRMENERGY,356.91,2026-04-30,7.7,67.46,97.85,46.54,13.13,24.62
BANKA,82.19,2026-04-30,15.74,12.74,95.83,32.22,-5.77,20.32
BHAGYANGR,269.4,2026-04-30,8.08,25.42,95.63,53.06,90.08,283.27
SIGMAADV,287.64,2026-04-30,15.76,39.7,94.98,68.93,,
JTLIND,79.5,2026-04-30,-1.94,17.02,94.85,11.31,16.95,22.62
JKIPL,90.67,2026-04-30,-1.13,-13.54,90.92,26.53,-20.36,
MCLEODRUSS,54.12,2026-04-30,-1.83,-2.42,86.81,25.25,-14.29,60.69
MTARTECH,6457.1,2026-04-30,21.76,30.66,86.21,120.27,161.7,354.31
ACCORD,48.35,2026-04-30,5.22,21.03,85.96,72.68,131.34,151.17
FILATFASH,0.26,2026-04-30,-10.34,0.0,85.71,-10.34,-48.0,-46.94
SOFTTECH,405.38,2026-04-30,15.26,34.17,85.4,45.27,11.46,16.71
KRITINUT,98.51,2026-04-30,-1.46,0.49,82.87,31.24,12.47,0.4
GLFL,7.22,2026-04-30,-0.96,26.0,82.32,62.61,-18.88,19.73
UFBL,351.35,2026-04-30,14.26,9.19,79.9,93.9,69.41,
SHEKHAWATI,16.8,2026-04-30,-3.28,24.54,79.68,17.48,-18.25,-21.82
AAREYDRUGS,91.08,2026-04-30,-1.04,7.23,79.47,34.73,-2.18,69.77
INA,147.18,2026-04-30,-0.25,3.02,79.09,,,
WALCHANNAG,235.02,2026-04-30,7.06,23.81,78.52,25.08,35.56,29.97
RITEZONE,25.75,2026-04-30,15.47,39.95,78.2,33.77,-16.94,7.97
PRIZOR,718.6,2026-04-30,15.36,39.03,77.43,167.14,111.23,447.5
ENSER,15.65,2026-04-30,0.32,-0.95,76.84,16.79,-26.18,-18.49
DYNAMIC,149.3,2026-04-30,-2.67,2.97,76.27,9.82,27.83,-17.19
ROLLT,1.92,2026-04-30,14.97,31.51,76.15,61.34,57.38,30.61
RSSOFTWARE,38.63,2026-04-30,-9.6,-1.7,76.15,2.99,-43.71,-39.82
VERTOZ,49.53,2026-04-30,-3.69,-6.92,75.7,-11.24,-27.48,-48.46
AMBEY,33.15,2026-04-30,-9.55,25.09,75.4,5.74,-16.29,-12.76
SADHNANIQ,2.4,2026-04-30,1.27,5.26,75.18,-60.4,-65.76,-88.41
SIMPLEXINF,245.06,2026-04-30,6.14,13.13,74.67,10.63,-9.62,-15.53
STLNETWORK,27.76,2026-04-30,-7.77,-8.02,74.37,37.49,5.59,
VLEGOV,15.01,2026-04-30,-2.6,-7.06,74.33,2.88,-35.99,-69.02
VIDYAWIRES,87.3,2026-04-30,-0.23,18.53,74.08,87.5,,
SAKUMA,1.91,2026-04-30,-0.52,-4.02,72.07,1.6,-31.79,-48.79
JNKINDIA,360.66,2026-04-30,-4.99,7.12,71.73,57.97,22.11,2.41
MANAKALUCO,37.32,2026-04-30,6.08,20.08,71.67,-13.35,27.33,36.71
QPOWER,1380.0,2026-04-30,-1.34,8.04,71.32,106.99,39.04,306.05
SETUINFRA,0.65,2026-04-30,0.0,16.07,71.05,51.16,18.18,-1.52
HFCL,116.03,2026-04-30,8.75,24.36,70.98,69.12,55.39,46.36
VMARCIND,991.45,2026-04-30,1.1,9.34,70.85,70.28,75.57,239.65
SWASTIK,22.2,2026-04-30,2.07,0.91,70.77,12.12,-27.21,-51.95
EFORCE,28.0,2026-04-30,3.13,3.7,70.73,-7.74,-36.65,-26.8
WEBELSOLAR,110.66,2026-04-30,-4.92,24.95,70.61,35.95,-10.37,-15.48
OILCOUNTUB,62.87,2026-04-30,3.56,-1.1,70.1,33.4,-7.58,-5.8
BALAXI,26.63,2026-04-30,0.08,-0.15,69.94,9.23,-36.73,-51.72
GAUDIUMIVF,121.47,2026-04-30,-5.23,26.61,69.82,,,
LUXIND,1398.2,2026-04-30,-15.63,-6.16,69.29,50.07,9.59,2.06
SAHAJSOLAR,155.55,2026-04-30,-0.99,4.96,68.62,9.66,-29.5,-39.59
BAWEJA,35.95,2026-04-30,-3.36,4.35,68.38,20.84,-18.85,-25.72
INSPIRE,11.55,2026-04-30,14.93,4.52,67.39,10.53,-30.0,-54.79
STLTECH,294.8,2026-04-30,5.37,8.53,67.16,177.2,143.05,372.44
SEPC,8.11,2026-04-30,5.74,9.89,66.87,-1.58,-28.29,-42.24
PURVFLEXI,63.6,2026-04-30,2.0,-12.58,66.71,-5.07,-33.75,-33.05
RBS,101.4,2026-04-30,-3.89,-6.5,66.5,15.23,-15.54,0.1
AGARWALFT,39.85,2026-04-30,2.18,5.15,66.39,26.51,-32.0,-18.67
SUPREMEPWR,251.75,2026-04-30,7.31,15.93,66.23,58.63,20.83,103.76
EMAMIREAL,90.37,2026-04-30,-13.48,34.82,66.06,31.33,-6.97,-20.33
NGIL,37.49,2026-04-30,-1.83,1.99,65.88,38.75,29.95,16.97
LLOYDSENT,68.51,2026-04-30,-1.15,3.99,65.56,17.82,-1.72,34.6
MANINDS,526.65,2026-04-30,-5.96,-1.7,65.43,61.8,25.69,92.74
IDEAFORGE,609.2,2026-04-30,10.78,31.88,63.87,32.0,25.27,61.42
APOLLO,297.11,2026-04-30,-1.35,2.7,63.1,13.94,5.6,152.49
SHIGAN,76.5,2026-04-30,2.34,20.47,62.59,14.18,11.19,7.82
MUKTAARTS,60.62,2026-04-30,19.78,23.92,62.48,6.39,-7.55,-14.75
BSHSL,98.45,2026-04-30,-1.85,-1.48,62.19,10.48,-18.71,-24.52
ASPIRE,16.5,2026-04-30,0.0,11.86,61.76,-1.2,-9.09,-58.12
HOLMARC,97.05,2026-04-30,8.07,16.86,61.62,3.85,-6.68,-24.51
SVPGLOB,3.62,2026-04-30,7.1,6.78,61.61,19.87,4.93,20.67
MEGATHERM,276.4,2026-04-30,0.53,5.98,61.03,36.66,12.04,-6.26
SUVEN,211.88,2026-04-30,0.13,0.81,60.88,59.54,10.07,66.18
HCC,22.04,2026-04-30,6.42,14.55,60.52,10.09,-23.82,-14.14
OLAELEC,36.56,2026-04-30,-1.0,-6.78,60.35,13.08,-28.29,-24.91
DBEIL,86.01,2026-04-30,1.58,15.23,60.32,-2.41,-43.93,-37.06
COHANCE,483.25,2026-04-30,11.84,30.89,60.31,26.74,-37.96,
GUJTHEM,363.58,2026-04-30,1.43,9.14,60.24,12.53,-22.18,31.93
SALSTEEL,58.92,2026-04-30,1.96,6.47,60.11,51.54,55.96,207.03
ELGIRUBCO,53.62,2026-04-30,5.51,-3.75,60.01,29.74,-18.89,-14.13
ARISTO,120.0,2026-04-30,5.68,27.12,60.0,21.46,-4.8,-8.71
OMFURN,63.95,2026-04-30,2.48,30.51,59.88,-0.7,-44.39,-38.36
DAMODARIND,31.98,2026-04-30,15.41,15.37,59.82,26.96,-5.83,1.94
RADIOWALLA,36.0,2026-04-30,1.84,4.96,59.65,-32.08,-40.74,-50.99
OSIAHYPER,6.21,2026-04-30,-5.19,20.58,59.64,-56.05,-70.68,-73.13
CEMPRO,815.25,2026-04-30,23.06,27.87,59.56,27.49,-3.69,
CELLECOR,36.4,2026-04-30,-1.22,14.29,59.3,31.41,10.81,-20.09
SUTLEJTEX,38.5,2026-04-30,-0.52,6.06,59.22,32.99,9.03,4.0
SARVESHWAR,3.99,2026-04-30,-0.5,0.5,58.96,-0.75,-21.61,-39.55
RAMASTEEL,5.77,2026-04-30,-0.52,-4.47,58.95,-26.03,-44.52,-41.24
63MOONS,746.65,2026-04-30,3.28,6.6,58.76,15.13,-5.55,15.93
ITDC,586.5,2026-04-30,-2.51,-3.55,58.3,11.61,-6.43,5.28
GSS,13.79,2026-04-30,-7.2,-10.97,58.14,-5.61,-43.23,-63.32
ADFFOODS,264.14,2026-04-30,-1.23,19.73,58.0,50.16,18.88,19.55
MOKSH,13.63,2026-04-30,5.25,19.04,57.94,-0.87,-2.29,-2.99
SONUINFRA,60.0,2026-04-30,6.76,-8.61,57.89,-19.95,-41.18,-52.0
SHYAMCENT,5.81,2026-04-30,3.2,5.64,57.88,1.4,-15.67,-30.83
PEARLPOLY,20.54,2026-04-30,-1.25,-8.1,57.88,7.43,-26.12,-30.56
DUGLOBAL,43.25,2026-04-30,0.0,14.57,57.85,49.14,31.26,-18.09
KAKATCEM,134.0,2026-04-30,-1.47,-2.95,57.5,19.32,-7.59,-6.42
SILVERTUC,163.42,2026-04-30,11.76,32.5,57.44,18.15,-78.74,-79.46
KERNEX,1348.8,2026-04-30,0.73,16.83,57.39,7.23,0.85,84.49
GVPIL,604.35,2026-04-30,8.38,21.45,57.32,102.43,95.96,
GALLANTT,861.85,2026-04-30,-1.23,-0.83,57.1,65.69,64.88,97.73
TOKYOPLAST,91.98,2026-04-30,-0.78,-15.26,57.07,-7.06,-25.87,-30.46
AUROIMPEX,34.0,2026-04-30,0.0,-2.16,57.04,-7.61,-29.17,-34.3
GGBL,342.4,2026-04-30,0.09,5.76,56.78,47.78,-11.6,-7.9
BLUECOAST,31.09,2026-04-30,-0.7,20.88,56.7,16.84,-37.15,6.73
AUSOMENT,147.79,2026-04-30,6.73,21.15,56.69,25.24,42.31,77.1
LAXMIINDIA,112.23,2026-04-30,-3.34,-8.1,56.64,21.96,-26.26,
KANORICHEM,87.92,2026-04-30,3.05,13.71,56.61,26.76,11.25,0.39
INDOWIND,11.03,2026-04-30,-0.09,7.61,56.23,-7.0,-29.61,-42.22
KECL,127.83,2026-04-30,-0.19,-11.06,56.21,52.65,7.48,0.91
GREENPOWER,12.54,2026-04-30,11.86,17.53,55.97,20.69,-10.04,3.04
VAISHALI,7.61,2026-04-30,-6.28,-1.81,55.94,-4.52,-24.43,-43.5
WELCORP,1266.75,2026-04-30,4.48,17.66,55.87,73.71,36.78,65.94
SEL,186.95,2026-04-30,9.97,-1.08,55.79,-6.06,-27.4,-41.08
NOVAAGRI,28.68,2026-04-30,-0.24,-1.78,55.7,-15.22,-40.21,-38.77
VINYLINDIA,256.24,2026-04-30,-0.66,-6.2,55.32,18.7,-8.75,-4.83
AEQUS,187.85,2026-04-30,-9.33,-3.46,55.3,38.76,,
BEACON,104.5,2026-04-30,5.66,6.25,55.27,20.81,35.8,42.66
DEEDEV,417.0,2026-04-30,-1.65,7.34,55.11,120.65,62.35,86.3
SYNOPTICS,61.5,2026-04-30,-1.91,5.22,55.11,27.33,-23.12,-32.31
ROCKINGDCE,202.0,2026-04-30,3.59,-6.2,54.85,-8.18,-0.47,-10.38
DHANBANK,30.41,2026-04-30,9.0,9.27,54.84,25.97,15.58,7.99
JAYNECOIND,110.79,2026-04-30,6.48,16.21,54.84,51.23,43.27,169.63
RUCHINFRA,6.39,2026-04-30,2.73,4.07,54.72,6.15,-14.23,-16.36
BHANDARI,3.14,2026-04-30,-3.68,-2.48,54.68,-20.71,-32.62,-34.49
PRESSTONIC,44.2,2026-04-30,-2.21,6.38,54.55,-1.34,-35.43,-58.83
BHAGCHEM,264.91,2026-04-30,-2.82,12.13,54.49,25.15,6.41,-11.62
GLOTTIS,58.91,2026-04-30,-7.35,4.97,54.46,16.95,-21.63,
IFGLEXPOR,189.83,2026-04-30,-2.27,9.63,54.33,3.22,-24.57,10.91
ORIENTALTL,6.94,2026-04-30,-0.14,-0.86,54.22,-4.01,-32.49,-39.12
VENUSPIPES,1377.7,2026-04-30,-3.75,5.06,54.11,34.53,6.63,13.2
NEPHROCARE,79.75,2026-04-30,-7.59,-6.67,54.11,-20.41,-41.23,-42.02
JAYKAY,182.0,2026-04-30,6.86,12.96,53.83,6.98,,
UNITECH,4.86,2026-04-30,1.04,-0.82,53.8,13.29,-30.17,-18.32
DYCL,370.44,2026-04-30,-3.21,6.09,53.77,26.47,-8.79,38.12
RAMRAT,444.25,2026-04-30,4.15,19.29,53.67,51.34,42.18,72.91
SBCL,595.5,2026-04-30,-6.88,14.27,53.54,40.64,24.47,36.9
MANINFRA,120.35,2026-04-30,3.33,25.26,53.43,9.32,-17.53,-20.99
TRIGYN,59.27,2026-04-30,1.58,3.49,53.35,3.24,-22.81,-20.89
PRAXIS,8.08,2026-04-30,6.74,11.76,53.32,12.38,-35.26,-9.01
LLOYDSENGG,57.77,2026-04-30,-2.0,4.03,53.11,29.53,-2.65,6.47
KDL,154.6,2026-04-30,-2.15,-9.88,52.92,-5.33,-11.91,-54.91
