ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,12109.75,2026-06-18,85420.83,86895.33,86646.06,84940.38,7774.21,8027.89
HITECHCORP,309.82,2026-06-18,0.23,1.3,128.38,126.29,83.73,66.33
ACCORD,99.6,2026-06-17,10.18,40.48,117.23,273.73,277.99,349.66
JAYBARMARU,172.79,2026-06-18,8.59,22.76,101.79,94.76,104.58,124.24
GRANDOAK,48.19,2026-06-18,33.08,77.95,86.57,,,
MODISONLTD,307.0,2026-06-18,2.38,-10.91,83.82,147.2,130.83,94.42
VENUSREM,1739.1,2026-06-18,-7.64,2.58,81.66,94.36,132.8,300.76
TCIFINANCE,23.92,2026-06-18,-14.2,37.23,79.04,72.71,48.39,27.03
DECNGOLD,215.78,2026-06-18,12.03,33.57,77.16,,,
PARAS,1310.3,2026-06-18,18.24,35.82,76.22,100.34,112.04,60.66
UFBL,624.55,2026-06-18,1.56,15.24,71.32,182.08,258.61,96.62
GENESYS,349.9,2026-06-18,10.97,31.59,70.97,26.59,-19.02,-46.35
YASHO,2892.4,2026-06-18,3.8,16.86,69.34,103.02,101.49,49.6
BLISSGVS,482.95,2026-06-18,9.87,15.1,68.04,124.2,202.46,247.71
MSTCLTD,687.6,2026-06-18,9.19,40.28,64.81,61.18,51.45,37.69
BLUSPRING,114.29,2026-06-18,23.14,25.59,64.73,144.05,77.33,54.61
NIBE,1748.4,2026-06-18,6.53,19.0,64.45,75.82,57.76,-0.24
SIGMAADV,500.05,2026-06-18,8.19,20.02,63.39,214.38,193.25,442.77
IZMO,1024.35,2026-06-18,-0.68,6.34,61.49,41.28,27.98,206.55
BETA,1948.3,2026-06-18,6.14,36.24,60.2,75.62,25.75,8.99
COCKERILL,9021.5,2026-06-18,-3.25,-0.88,59.24,,,
SICALLOG,100.87,2026-06-18,15.07,32.99,59.0,54.24,1.99,-8.42
NIITLTD,97.87,2026-06-18,9.63,5.2,58.37,47.75,13.35,-24.3
EIFFL,349.71,2026-06-18,42.88,52.66,58.32,51.22,47.93,61.67
SSFL,191.5,2026-06-17,-3.67,-0.93,58.26,40.76,41.33,21.15
NPST,1604.0,2026-06-18,-2.99,9.24,57.78,49.06,14.57,-22.8
ROLLT,3.24,2026-06-18,14.08,39.66,55.77,153.13,145.45,82.02
CLCIND,42.38,2026-06-17,0.0,4.98,54.95,177.9,-84.86,-84.86
ELECTHERM,1081.5,2026-06-18,-3.63,22.0,54.18,72.54,37.67,-8.03
SANGINITA,37.68,2026-06-18,6.08,17.02,53.92,130.32,277.18,273.81
ASTRAMICRO,1670.0,2026-06-18,14.54,18.26,53.61,76.52,89.88,48.39
STLTECH,647.2,2026-06-18,6.31,10.01,53.4,235.18,576.7,519.03
THANGAMAYL,5435.7,2026-06-18,-1.2,-1.02,53.25,55.23,65.74,186.11
KERNEX,2077.7,2026-06-18,1.99,10.11,53.04,114.68,82.19,72.28
VMARCIND,1664.05,2026-06-17,16.87,20.37,52.69,144.8,153.26,471.15
EXICOM,168.15,2026-06-18,4.07,11.71,52.39,83.37,45.56,-7.54
GVPIL,1002.45,2026-06-18,2.71,16.24,51.59,123.71,214.0,223.53
VADILALIND,6212.3,2026-06-18,3.08,10.29,50.82,32.72,24.36,15.56
DEEDEV,714.0,2026-06-18,3.55,1.32,49.89,153.37,229.18,138.0
NRL,79.1,2026-06-18,4.45,6.25,49.58,54.7,38.05,1.02
KSHITIJPOL,5.59,2026-06-18,-14.0,-10.42,49.47,132.92,124.5,53.99
SPARC,242.47,2026-06-18,5.87,19.09,49.46,101.64,83.98,54.13
BHAGERIA,226.35,2026-06-18,3.93,7.31,48.79,52.98,27.54,22.48
QUADFUTURE,424.15,2026-06-18,11.65,23.79,48.49,38.2,67.88,-10.5
RUBYMILLS,333.95,2026-06-18,0.0,1.72,48.33,65.86,50.5,40.59
BROOKS,68.0,2026-06-18,0.67,2.01,47.44,19.38,-29.03,-46.13
WELSPLSOL,60.43,2026-06-18,15.19,10.52,47.03,,,
GOCLCORP,424.95,2026-06-18,4.99,7.22,46.81,75.27,46.23,18.13
AEGISLOG,1006.9,2026-06-18,2.3,33.27,46.79,65.2,37.99,31.39
VINYAS,1422.3,2026-06-17,1.23,6.7,46.66,55.96,21.05,42.23
IMPEXFERRO,2.53,2026-06-17,0.0,4.55,46.24,62.18,42.13,9.52
RAMCOSYS,560.75,2026-06-18,2.3,-0.4,45.76,35.68,-4.25,42.65
CPPLUS,3513.7,2026-06-18,4.38,2.63,45.37,108.66,130.21,
TBZ,189.67,2026-06-18,1.02,16.28,45.32,40.87,17.91,2.48
EQUIPPP,21.1,2026-06-18,13.32,26.8,45.02,11.46,-4.83,5.13
CARTRADE,2585.0,2026-06-18,11.18,24.89,44.89,52.24,-3.84,53.19
ZEELEARN,8.4,2026-06-18,12.75,11.26,44.58,58.49,21.39,-10.26
EPACKPEB,271.86,2026-06-18,6.86,35.52,44.43,69.89,-6.42,
COFFEEDAY,34.57,2026-06-18,2.46,-5.31,44.34,35.83,2.25,1.71
GAYAPROJ,24.73,2026-06-18,7.76,20.17,44.28,85.52,114.48,178.49
SASKEN,2647.9,2026-06-18,24.65,24.23,44.22,130.17,127.46,88.98
SOTL,589.4,2026-06-18,2.05,8.46,44.09,70.69,61.99,42.78
ONELIFECAP,30.13,2026-06-18,11.88,14.52,43.75,103.58,93.89,118.33
PPL,259.91,2026-06-18,0.83,12.94,43.53,33.38,9.61,-33.91
HFCL,199.63,2026-06-18,10.63,12.23,42.91,174.86,208.93,142.71
FCL,43.45,2026-06-18,4.7,13.92,42.37,95.72,80.67,63.28
PALREDTEC,53.25,2026-06-18,15.74,13.3,42.0,79.17,39.87,3.2
TIMEX,476.95,2026-06-18,-3.93,7.94,41.8,,,
NAVKARURB,1.12,2026-06-18,8.74,17.89,41.77,20.43,-16.42,-36.61
ORCHPHARMA,1008.25,2026-06-18,4.93,19.67,41.4,87.27,28.28,45.84
RPTECH,730.0,2026-06-18,30.07,33.93,41.21,109.35,111.14,144.76
BIRLACABLE,216.53,2026-06-18,6.23,1.8,41.09,63.48,59.91,9.41
OCCLLTD,128.21,2026-06-18,-5.35,-4.62,40.33,45.2,38.47,8.73
PREMEXPLN,741.1,2026-06-18,8.46,7.71,40.33,64.52,56.55,24.79
CUPID,169.19,2026-06-18,2.65,20.53,40.01,113.35,91.67,828.7
EMKAY,291.37,2026-06-18,0.17,4.86,39.99,25.3,11.7,27.08
QFIL,55.85,2026-06-17,-0.18,21.28,39.97,18.45,-4.28,-28.03
JNKINDIA,467.0,2026-06-18,-5.83,11.63,39.86,93.09,115.85,29.72
SHEMAROO,136.93,2026-06-18,16.01,25.22,39.62,36.77,31.15,24.65
MDL,74.0,2026-06-17,5.71,5.71,39.36,46.53,-1.33,-28.85
KSHINTL,885.55,2026-06-18,2.55,18.1,39.13,112.06,,
SYRMA,1346.8,2026-06-18,3.51,12.12,38.85,71.69,89.73,156.01
KWIL,36.65,2026-06-18,-1.61,12.6,38.62,48.32,,
RPEL,1189.75,2026-06-18,-0.85,9.13,38.58,80.61,28.8,61.24
SEDEMAC,2730.8,2026-06-18,-0.15,15.38,38.42,78.12,,
GOCOLORS,357.95,2026-06-18,-3.24,-11.68,37.94,34.69,-21.96,-58.44
RATEGAIN,889.0,2026-06-18,7.82,19.21,37.93,74.55,35.13,103.74
SUPREMEENG,1.28,2026-06-18,4.92,21.9,37.63,14.29,3.23,-34.69
TERASOFT,416.2,2026-06-18,-4.9,-4.62,37.5,22.9,-9.81,55.66
HOACFOODS,619.35,2026-06-17,0.95,-4.71,37.47,81.89,74.46,208.06
ALKALI,87.41,2026-06-18,2.29,0.4,37.46,52.2,11.04,-10.76
TEJASNET,600.15,2026-06-18,3.06,10.63,37.43,33.37,34.11,-13.71
APOLLO,426.6,2026-06-18,1.17,4.82,37.17,106.8,88.22,116.72
IBULLSLTD,25.25,2026-06-18,6.18,8.28,36.86,143.49,49.85,41.3
ORBTEXP,213.69,2026-06-18,11.85,15.51,36.82,41.3,13.91,23.79
SETCO,17.89,2026-06-18,-5.79,3.89,36.58,97.94,120.88,90.13
PRADPME,527.5,2026-06-18,5.94,20.31,36.52,,,
CARYSIL,1237.8,2026-06-18,5.51,17.19,36.33,52.14,42.98,42.36
SUPRIYA,932.25,2026-06-18,-2.4,1.43,36.29,58.21,27.62,39.18
AGARIND,550.4,2026-06-18,-5.14,17.02,36.15,27.2,-22.95,-43.6
ICIL,405.85,2026-06-18,16.09,26.12,36.03,69.28,52.23,51.75
CEMPRO,1192.4,2026-06-18,1.18,9.23,35.99,117.53,50.93,49.73
JKIPL,112.18,2026-06-18,4.18,14.11,35.96,111.3,19.68,
EFFWA,345.3,2026-06-17,6.57,11.3,35.94,72.65,49.29,42.8
VINDHYATEL,2179.5,2026-06-18,-0.86,14.4,35.87,93.6,58.0,26.08
MAYURUNIQ,827.45,2026-06-18,3.81,14.99,35.61,63.53,72.69,49.65
NGLFINE,3045.4,2026-06-18,-2.06,14.78,35.36,39.77,133.17,205.59
STEL,600.9,2026-06-18,-2.55,18.58,35.28,30.55,6.98,46.92
PANAMAPET,408.25,2026-06-18,7.01,21.96,35.25,49.46,48.97,11.42
SANDHAR,694.6,2026-06-18,-1.77,0.18,35.25,42.41,27.65,33.3
K2INFRA,78.3,2026-06-17,29.85,58.82,35.23,59.63,26.29,-1.88
MAHESHWARI,72.25,2026-06-18,1.05,8.52,35.15,60.52,54.31,25.43
HARIOMPIPE,412.4,2026-06-18,-3.88,1.74,34.97,28.55,18.23,3.31
PRITIKAUTO,18.0,2026-06-18,24.31,35.85,34.83,52.41,38.36,1.47
SURYALA,452.35,2026-06-18,1.55,2.46,34.63,,,
DEEM,47.0,2026-06-17,5.15,-10.65,34.29,35.25,3.07,-28.3
E2E,405.7,2026-06-18,8.5,-5.72,34.14,79.62,101.85,56.36
FAZE3Q,582.5,2026-06-18,6.05,6.82,34.14,32.12,33.57,3.89
GTECJAINX,25.46,2026-06-18,-14.25,-33.61,34.0,24.99,6.71,6.04
SANGHVIMOV,412.3,2026-06-18,-2.03,9.64,33.97,62.84,34.3,45.04
HMVL,84.83,2026-06-18,2.95,0.21,33.8,35.38,16.56,0.35
STALLION,191.39,2026-06-18,-0.83,7.08,33.76,61.78,-6.35,148.56
DYNAMIC,154.0,2026-06-17,0.29,3.22,33.68,50.24,52.4,-3.14
NETWEB,5079.6,2026-06-18,10.13,19.11,33.46,54.12,62.78,190.73
FINOPB,157.27,2026-06-18,14.35,23.13,33.34,3.01,-38.84,-45.36
DHARAN,0.16,2026-06-18,0.0,14.29,33.33,14.29,-40.74,-70.91
AVALON,1755.3,2026-06-18,-0.27,9.36,33.28,86.71,104.76,110.25
VINSYS,404.0,2026-06-17,9.99,7.12,33.11,32.39,3.31,-0.15
SIMPLEXINF,282.0,2026-06-18,9.58,13.25,32.96,59.58,10.2,1.68
NELCO,871.9,2026-06-18,21.78,27.79,32.74,43.54,21.72,-20.61
INDORAMA,46.62,2026-06-18,1.55,6.37,32.59,41.4,-1.77,3.23
AEROFLEX,489.0,2026-06-18,2.3,22.56,32.56,97.36,175.79,180.08
FILATEX,54.49,2026-06-18,2.79,3.83,32.45,34.08,9.4,4.41
KDDL,2908.8,2026-06-18,1.66,-1.22,32.41,25.56,25.39,2.95
WABAG,1821.8,2026-06-18,11.83,17.97,32.4,48.11,40.85,19.89
IFCI,82.31,2026-06-18,-8.14,11.53,32.35,46.75,75.84,37.34
JASH,493.5,2026-06-18,-1.94,13.89,32.31,33.76,16.51,-9.28
EMMVEE,333.7,2026-06-18,-0.91,1.11,32.21,39.88,92.97,
SKMEGGPROD,238.96,2026-06-18,1.28,-0.99,32.21,44.83,16.34,95.31
ZEEL,111.78,2026-06-18,3.03,0.62,32.17,45.4,23.54,-14.7
VSCL,27.0,2026-06-17,0.0,1.89,31.71,21.35,54.29,-19.16
PANACEABIO,534.85,2026-06-18,-1.1,-3.26,31.57,56.87,54.72,24.75
KISSHT,271.9,2026-06-18,0.39,0.57,31.45,,,
DREDGECORP,1137.2,2026-06-18,3.41,2.33,31.35,24.9,20.15,59.57
