ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11860.4,2026-08-26,85042.86,84195.67,85472.88,83659.89,7659.5,7951.32
VCL,2.23,2026-08-26,0.0,25.99,125.25,55.94,1.83,123.0
VIVO,160.0,2026-08-25,0.0,4.81,106.85,95.6,110.53,140.24
PVP,56.48,2026-08-26,16.24,52.61,106.81,117.9,106.89,169.85
GATECH,0.99,2026-08-26,6.45,26.92,106.25,90.38,102.04,90.38
ROLLT,4.09,2026-08-26,7.07,29.02,88.48,108.67,202.96,196.38
MOREPENLAB,96.98,2026-08-26,1.85,7.97,80.26,120.81,117.2,105.91
VALIANTLAB,107.87,2026-08-26,7.31,24.66,75.4,37.0,82.52,24.91
IMPEXFERRO,4.14,2026-08-26,3.76,13.74,73.22,122.58,144.97,117.89
ALLCARGO,13.32,2026-08-26,-0.08,32.41,65.26,46.53,55.79,-58.57
MAHASTEEL,1235.5,2026-08-26,5.09,12.41,63.13,36.32,59.28,250.65
DOLPHIN,613.3,2026-08-26,-0.51,6.32,62.7,51.56,50.61,39.13
TFCILTD,140.99,2026-08-26,8.82,17.22,62.4,95.35,97.53,132.38
COMSYN,288.72,2026-08-26,-0.16,2.5,61.73,86.83,81.33,114.69
INDSWFTLAB,367.48,2026-08-26,12.29,17.4,61.54,169.87,146.05,284.03
KABRAEXTRU,601.65,2026-08-26,-1.55,15.59,59.67,163.53,139.63,109.49
SIGIND,71.02,2026-08-26,3.6,-0.18,59.34,39.36,53.89,29.96
GULFPETRO,68.4,2026-08-26,-3.01,11.98,59.31,107.24,114.33,67.6
RBA,102.36,2026-08-26,-3.84,2.78,57.09,50.64,60.87,31.64
ALPHAGEO,320.16,2026-08-26,0.17,-5.38,56.44,39.6,60.62,37.8
RATNAVEER,279.27,2026-08-26,3.35,14.51,56.36,59.15,82.78,90.5
VIJIFIN,14.47,2026-08-26,3.95,14.57,56.09,280.79,592.34,317.0
KENNAMET,4325.5,2026-08-26,2.21,21.79,55.43,40.85,77.05,77.05
AVADHSUGAR,813.7,2026-08-26,-2.22,12.2,54.89,80.06,148.88,95.44
KOHINOOR,34.66,2026-08-26,-4.96,24.77,51.22,39.53,41.58,0.67
PRABHA,209.16,2026-08-26,-2.26,28.02,49.55,31.14,18.23,-15.15
CTE,46.93,2026-08-26,-9.75,15.11,48.98,46.34,68.75,12.68
MODISONLTD,411.6,2026-08-26,3.73,15.59,48.97,65.57,202.69,166.91
AVONMORE,13.97,2026-08-26,2.87,7.38,48.78,27.81,-5.35,-28.62
AKSHARCHEM,350.18,2026-08-26,9.99,15.54,48.02,75.09,59.61,27.34
CALSOFT,32.2,2026-08-26,10.24,24.66,47.84,62.3,152.55,89.41
ARIES,503.7,2026-08-26,9.73,15.89,47.69,41.87,52.18,17.81
ABMINTLLTD,60.46,2026-08-26,3.58,7.58,47.39,31.43,41.76,41.39
MARINE,375.55,2026-08-26,-1.92,2.3,47.39,53.12,96.39,123.31
MOLDTECH,198.48,2026-08-26,2.51,10.51,47.37,64.82,49.31,25.27
BALUFORGE,638.9,2026-08-26,1.06,24.46,47.35,28.63,30.55,1.52
PRESSTONIC,37.35,2026-08-25,4.48,27.69,46.76,9.85,-27.55,-58.03
STYLEBAAZA,408.9,2026-08-26,3.05,6.62,45.83,16.38,34.09,27.66
WEL,155.92,2026-08-26,14.7,6.99,45.39,64.92,9.41,19.01
KWIL,46.48,2026-08-26,-4.42,19.82,45.25,76.53,79.18,
SHEKHAWATI,17.09,2026-08-26,-6.71,-7.02,45.08,9.76,34.36,-20.99
NEPHROCARE,90.95,2026-08-25,-0.6,9.51,44.48,8.92,36.97,-47.58
WELCORP,2306.7,2026-08-26,-4.25,22.57,44.45,75.46,180.56,164.69
MAXESTATES,558.05,2026-08-26,1.62,17.65,44.14,24.3,38.22,21.71
CLSL,87.9,2026-08-25,4.64,20.16,44.1,111.04,83.13,53.27
TOTAL,71.57,2026-08-26,-1.88,9.99,43.2,34.89,12.39,-1.49
UEL,171.74,2026-08-26,-0.25,-22.81,43.14,22.47,-6.16,43.96
EMIL,184.54,2026-08-26,0.58,-4.1,42.35,60.23,84.08,44.26
YASHO,4369.6,2026-08-26,1.42,0.17,42.26,94.25,191.84,141.2
MMP,400.7,2026-08-26,1.67,14.49,42.24,43.24,65.07,47.24
SHILPAMED,860.75,2026-08-26,0.58,6.36,41.99,70.5,153.35,111.03
AARTISURF,538.15,2026-08-26,-1.14,-13.99,41.02,37.83,34.12,14.59
ESCONET,192.3,2026-08-25,2.21,0.16,40.88,50.23,54.52,4.48
GICL,23.51,2026-08-26,-1.59,0.56,40.61,-41.88,-52.51,-80.32
DTIL,183.22,2026-08-26,30.95,37.62,40.45,36.72,31.89,-4.34
SUBEXLTD,17.62,2026-08-26,-3.45,24.88,40.06,61.21,94.05,35.43
DCI,402.8,2026-08-26,4.9,5.35,39.93,38.47,58.12,63.22
SBCL,1053.1,2026-08-26,5.36,2.99,39.63,40.93,129.64,104.88
SUPREMEENG,2.68,2026-08-26,3.88,13.08,39.58,176.29,176.29,135.09
SAPPHIRE,249.68,2026-08-26,0.15,6.39,39.39,34.93,20.17,-22.89
VMARCIND,390.05,2026-08-25,-1.71,8.29,39.3,-66.21,-41.33,-18.93
DEEPINDS,664.65,2026-08-26,-1.98,-1.99,39.11,45.18,87.78,25.34
SIGMAADV,727.3,2026-08-26,10.24,15.98,39.06,88.74,358.31,397.74
UGARSUGAR,54.97,2026-08-26,-5.24,5.35,38.73,31.32,53.28,32.81
SABAR,7.55,2026-08-25,4.14,8.63,38.53,34.82,43.81,37.27
CAPTRUST,20.25,2026-08-26,0.85,-5.24,38.23,46.0,54.34,-56.54
KOTARISUG,33.79,2026-08-26,-13.71,28.53,38.2,31.99,37.47,13.31
QMSMEDI,152.73,2026-08-26,4.47,10.57,38.09,80.75,78.21,81.15
MACPOWER,1850.6,2026-08-26,-5.75,3.88,37.64,63.94,84.51,127.0
TPHQ,0.55,2026-08-26,-6.78,-5.17,37.5,7.84,-5.17,-22.54
HAPPYFORGE,2212.5,2026-08-26,0.98,0.66,36.95,60.24,64.99,143.7
UTTAMSUGAR,312.82,2026-08-26,-6.36,10.54,36.93,28.47,58.8,20.01
PNGSREVA,555.65,2026-08-26,2.7,-3.61,36.88,41.49,,
SUDEEPPHRM,1129.1,2026-08-26,-0.18,2.5,36.84,62.26,72.1,
REDINGTON,354.2,2026-08-26,-2.99,6.43,36.73,61.23,48.02,55.02
UCL,254.8,2026-08-25,0.0,-2.0,36.66,63.6,249.28,409.6
BIRLACABLE,267.68,2026-08-26,-1.23,-4.11,36.53,53.16,95.02,69.22
ARCHIDPLY,112.94,2026-08-26,1.28,17.76,36.17,35.81,37.63,15.73
UFLEX,650.45,2026-08-26,5.05,10.99,35.94,59.03,37.8,24.46
MANYAVAR,546.6,2026-08-26,2.37,0.88,35.87,31.71,36.63,-27.12
CORDELIA,109.5,2026-08-26,4.93,33.02,35.79,,,
DURLAX,67.85,2026-08-25,6.02,5.85,35.16,8.82,63.1,69.2
SMLMAH,5190.5,2026-08-26,-0.26,-2.45,35.01,34.53,3.94,16.87
MARKSANS,331.05,2026-08-26,2.21,0.15,34.78,30.29,87.75,91.59
ASIANENE,478.55,2026-08-26,2.5,12.53,34.54,35.74,56.44,30.44
ROCKINGDCE,238.9,2026-08-25,6.63,42.67,34.48,18.86,18.27,5.2
KAMATHOTEL,227.08,2026-08-26,0.5,16.67,34.28,35.4,20.77,-24.51
ENTERO,1648.0,2026-08-26,7.73,17.58,34.03,28.4,55.27,36.15
TVSSRICHAK,5311.8,2026-08-26,8.23,9.1,33.99,47.69,30.79,86.89
