ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11975.6,2026-07-21,84413.76,84354.16,84653.0,80273.15,7756.46,7997.09
ACCORD,202.35,2026-07-20,-0.07,13.46,103.16,406.51,633.15,787.5
VIJIFIN,8.75,2026-07-21,1.98,12.18,94.01,150.0,245.85,108.83
SHARDUL,56.57,2026-07-21,4.99,40.3,92.55,,,
TIRUPATIFL,76.95,2026-07-21,9.99,11.41,60.38,72.3,128.14,80.76
DPABHUSHAN,1472.0,2026-07-21,2.62,26.74,60.3,33.22,8.37,-12.04
SETL,289.65,2026-07-21,0.56,4.36,55.63,110.92,136.45,58.43
BNALTD,519.55,2026-07-21,-1.41,52.81,54.72,29.37,,
SANGINITA,58.09,2026-07-21,1.98,12.56,51.16,170.19,424.75,449.57
KABRAEXTRU,359.3,2026-07-21,2.18,13.83,51.13,53.64,75.46,18.23
KALYANKJIL,577.0,2026-07-21,1.23,12.99,50.46,39.0,45.5,-2.12
SIGNORIA,130.0,2026-07-20,-13.19,10.69,49.17,106.35,52.94,20.37
AMIRCHAND,193.07,2026-07-20,7.38,13.42,47.35,44.07,,
BAFNAPH,233.58,2026-07-21,2.0,11.92,45.81,71.18,108.42,161.68
WALPAR,34.85,2026-07-20,1.01,3.41,44.91,-10.18,-24.07,-28.88
SWARAJ,359.9,2026-07-20,5.03,10.11,44.16,23.17,51.38,79.95
CBAZAAR,6.45,2026-07-20,4.03,8.4,43.33,30.3,63.29,30.3
GAUDIUMIVF,155.41,2026-07-21,4.99,19.53,42.95,50.53,,
RAMCOSYS,796.4,2026-07-21,-0.9,-10.13,42.93,84.74,86.05,105.36
HUHTAMAKI,264.19,2026-07-21,5.76,19.26,42.15,40.71,44.15,18.79
AEROPLANE,186.05,2026-07-21,-3.64,3.48,41.99,32.22,,
TATVA,1685.0,2026-07-21,-1.67,21.1,41.12,31.72,21.5,63.6
SUPREMEENG,1.83,2026-07-21,1.67,10.91,40.77,55.08,30.71,22.0
MARC,107.8,2026-07-20,16.86,13.0,40.64,36.8,105.14,
BLUESTONE,728.65,2026-07-21,19.37,23.75,39.37,33.14,71.57,
NRL,110.02,2026-07-21,-0.07,4.48,37.97,96.01,103.67,41.69
JUSTDIAL,743.4,2026-07-21,-0.53,9.83,37.69,34.94,7.94,-14.62
TBZ,259.73,2026-07-21,1.61,15.38,37.51,72.0,51.22,33.28
BTTL,47.52,2026-07-21,-3.53,-16.63,37.42,,,
OPTIEMUS,605.35,2026-07-21,-0.27,4.39,37.31,49.43,49.3,1.11
CLSL,60.1,2026-07-20,27.87,30.65,36.59,35.82,25.21,14.48
ZSARACOM,12799.0,2026-07-21,-0.66,-2.81,36.09,27.37,,
INDNIPPON,1241.6,2026-07-21,2.66,0.44,35.8,60.03,75.72,62.1
ECLERX,1924.0,2026-07-21,2.48,15.7,35.62,23.01,-8.38,3.68
VELJAN,1700.0,2026-07-21,-0.55,0.46,35.46,73.47,,
SHAREINDIA,185.88,2026-07-21,2.62,3.82,33.82,26.8,32.76,7.0
SEL,233.5,2026-07-20,1.97,25.54,33.73,23.54,16.75,-8.88
IKIO,216.5,2026-07-21,0.99,5.71,33.5,50.54,41.11,3.56
GANECOS,1237.95,2026-07-21,3.85,10.27,33.46,16.66,79.11,-17.91
COUNCODOS,6.4,2026-07-21,-3.03,0.31,33.33,18.52,24.27,-4.48
