ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11855.95,2026-06-30,83984.75,83569.37,83569.37,86820.45,7598.17,7801.86
ACCORD,139.9,2026-06-29,21.44,54.76,151.39,427.92,382.41,533.03
SETL,256.77,2026-06-30,10.0,26.9,92.48,143.04,72.68,51.92
RAMCOSYS,836.05,2026-06-30,5.4,49.66,83.73,143.0,45.01,104.79
GTECJAINX,30.19,2026-06-30,-1.98,19.05,80.89,74.71,26.32,29.24
SIGNORIA,105.85,2026-06-29,15.68,45.8,77.01,87.84,10.38,-4.6
GRANDOAK,41.49,2026-06-30,-4.99,-21.88,65.83,,,
SSFL,267.1,2026-06-29,21.49,34.36,63.71,124.27,100.38,80.59
BAFNAPH,214.63,2026-06-30,5.0,27.61,62.72,96.3,45.4,155.42
VIPULLTD,14.28,2026-06-30,4.92,27.05,62.09,35.23,18.9,17.82
MSTCLTD,709.4,2026-06-30,2.69,2.77,61.04,93.9,40.24,31.38
PARAS,1289.05,2026-06-30,8.97,-6.51,57.33,116.54,89.59,61.51
AEGISLOG,1173.95,2026-06-30,-0.01,9.75,56.85,96.1,66.83,52.54
PPL,323.58,2026-06-30,5.86,22.39,56.13,97.12,36.58,-18.27
CARTRADE,2693.0,2026-06-30,1.29,4.73,55.2,63.21,-2.73,58.35
CLCIND,46.71,2026-06-29,4.99,10.22,54.98,191.76,-83.32,-83.32
VIJIFIN,6.01,2026-06-30,4.89,27.06,52.93,107.96,120.96,162.45
BETA,2184.7,2026-06-30,1.0,1.73,52.83,83.7,38.96,22.63
JAYBARMARU,171.1,2026-06-30,-0.16,4.77,52.73,126.17,87.47,120.26
MTEDUCARE,2.42,2026-06-30,0.41,14.15,52.2,98.36,38.29,16.91
THANGAMAYL,6398.2,2026-06-30,8.9,15.14,52.16,86.76,99.66,245.87
SANGINITA,43.22,2026-06-30,1.93,10.28,51.01,130.38,335.69,322.48
SYNOPTICS,69.0,2026-06-29,0.8,-2.34,49.51,65.47,10.05,-16.72
SPRL,115.7,2026-06-29,14.95,39.4,48.33,-0.17,-27.69,-18.52
NIITLTD,100.62,2026-06-30,4.58,-2.86,48.08,99.72,11.69,-22.31
SUPREMEENG,1.42,2026-06-30,1.43,7.58,47.92,51.06,21.37,-19.32
QUADFUTURE,432.55,2026-06-30,-2.94,3.82,47.75,61.31,32.7,-9.0
ORIENTHOT,140.88,2026-06-30,-0.18,17.08,47.46,71.78,37.77,-6.94
BHAGYANGR,431.85,2026-06-30,4.88,5.99,47.29,213.59,158.62,440.76
CUPID,189.93,2026-06-30,0.81,5.64,47.16,128.56,86.57,783.23
AEROENTER,141.25,2026-06-30,-0.74,-2.58,46.75,117.51,63.18,36.78
SPAL,1138.15,2026-06-30,8.25,16.25,45.53,63.37,61.85,32.71
SAKSOFT,206.71,2026-06-30,12.48,46.26,44.28,88.45,5.15,3.57
SKMEGGPROD,293.02,2026-06-30,-3.63,17.87,43.51,97.77,36.89,131.05
VENUSREM,1833.5,2026-06-30,-5.0,8.37,43.24,123.58,147.27,299.93
ROLLT,2.78,2026-06-30,-4.79,-22.13,42.56,155.05,127.87,62.57
EBGNG,625.45,2026-06-30,9.91,13.98,42.49,77.66,104.36,
RPTECH,773.75,2026-06-30,2.74,1.78,42.47,128.99,118.57,155.34
TIRUPATIFL,64.07,2026-06-30,10.5,31.02,42.22,58.28,91.2,44.2
LIKHITHA,265.66,2026-06-30,-1.78,4.03,41.21,69.46,43.38,-7.8
YASHO,2923.9,2026-06-30,-1.15,2.25,41.06,132.17,103.39,40.21
AMAGI,560.55,2026-06-30,1.1,5.46,40.56,71.87,,
BLUSPRING,111.02,2026-06-30,0.14,2.77,40.48,117.99,68.65,46.19
ICIL,438.25,2026-06-30,3.14,12.59,40.42,75.62,46.84,48.81
NPST,1618.6,2026-06-30,2.22,4.48,40.1,68.73,15.18,-21.72
NACLIND,220.76,2026-06-30,9.22,2.28,40.03,76.16,38.24,1.09
RUBICON,1402.9,2026-06-30,-1.18,1.91,39.51,81.53,111.69,
UNIHEALTH,599.55,2026-06-29,0.89,20.65,39.04,57.18,114.12,256.24
SICALLOG,91.12,2026-06-29,-4.99,3.95,38.99,41.27,3.02,-20.98
MACPOWER,1346.9,2026-06-30,2.2,14.08,38.88,69.86,33.53,33.21
MADHUSUDAN,214.75,2026-06-29,4.83,51.23,38.55,54.5,61.34,44.13
EIFFL,322.79,2026-06-30,0.44,-9.47,38.21,51.95,19.62,24.82
MDL,76.6,2026-06-29,9.12,9.43,38.02,27.67,6.39,-20.83
SAAKSHI,325.5,2026-06-29,20.2,27.42,37.81,71.63,68.26,92.55
INVPRECQ,847.45,2026-06-30,1.74,12.42,37.58,,,
PANACEABIO,565.85,2026-06-30,2.19,7.97,37.06,91.13,46.38,32.64
EPACKPEB,243.92,2026-06-30,4.53,-8.69,37.0,84.55,-9.04,
MOREPENLAB,59.12,2026-06-30,8.16,17.93,36.73,75.53,46.08,-3.88
JNKINDIA,504.65,2026-06-30,3.2,5.26,36.47,140.29,104.6,44.84
KANORICHEM,134.03,2026-06-30,2.06,5.78,35.93,138.74,75.66,39.31
EFFWA,363.5,2026-06-29,-1.4,12.19,35.81,99.23,62.93,54.58
IZMO,1019.65,2026-06-30,5.0,-3.06,35.79,65.55,25.34,184.9
BTTL,45.93,2026-06-30,0.22,33.6,35.77,,,
NELCO,929.8,2026-06-30,4.56,0.5,35.51,83.99,30.28,-8.27
VELJAN,1431.6,2026-06-30,20.0,13.43,35.16,,,
SEDEMAC,2895.1,2026-06-30,6.56,1.33,34.98,91.3,,
PRIZOR,888.4,2026-06-29,1.55,3.15,34.86,116.68,206.61,322.85
DAICHI,319.53,2026-06-30,1.2,-0.79,34.79,,,
MAHESHWARI,74.73,2026-06-30,3.32,5.25,34.77,72.15,55.07,27.35
EVERESTIND,512.85,2026-06-30,8.4,29.7,34.77,76.63,-2.39,-8.12
INDSWFTLAB,203.53,2026-06-30,-0.85,7.76,33.8,54.86,127.48,82.13
SKFINDUS,2891.8,2026-06-30,0.76,4.95,33.69,38.82,11.21,
BHAGERIA,211.01,2026-06-30,1.36,-7.92,33.05,64.16,17.09,1.55
PROLIFE,75.8,2026-06-29,10.17,20.7,32.98,22.26,-5.25,-53.95
IBULLSLTD,27.81,2026-06-30,3.11,1.91,32.24,204.27,57.83,61.22
UNICHEMLAB,461.7,2026-06-30,2.1,3.09,32.16,57.34,6.46,-21.65
VSCL,30.3,2026-06-29,6.88,12.22,32.03,43.26,88.79,-9.28
DENTA,331.45,2026-06-30,-1.25,2.02,31.5,47.47,-1.68,14.53
WABAG,2009.1,2026-06-30,0.55,-2.56,31.5,73.59,58.04,35.97
SHUBHLAXMI,26.2,2026-06-29,-9.66,7.38,31.33,0.77,-32.82,62.73
INOXINDIA,1958.4,2026-06-30,4.79,-4.04,31.28,66.87,76.93,59.41
WELSPLSOL,55.72,2026-06-30,-3.21,-4.69,30.92,,,
SIGMAADV,555.1,2026-06-30,-5.0,0.69,30.67,276.29,192.53,407.13
TRIDHYA,11.75,2026-06-29,0.0,10.85,30.56,67.86,-22.19,-39.12
AVG,202.68,2026-06-30,13.4,7.43,30.42,40.25,15.47,-33.04
HITECHCORP,315.64,2026-06-30,0.62,2.74,30.33,176.13,87.15,58.41
SWSOLAR,244.4,2026-06-30,0.02,0.61,30.29,64.16,16.69,-23.6
COCKERILL,9209.0,2026-06-30,5.37,0.01,30.13,,,
KWIL,35.11,2026-06-30,0.6,-3.7,30.09,56.25,,
JYOTICNC,775.1,2026-06-30,-1.32,6.11,30.05,7.38,-21.41,-26.81
VADILALIND,6288.4,2026-06-30,-1.18,-1.12,29.85,53.75,27.46,13.92
RELTD,165.28,2026-06-30,1.41,2.03,29.76,38.02,4.53,23.48
CAPLIPOINT,2626.0,2026-06-30,2.66,3.49,29.71,74.85,46.94,24.42
MEGASTAR,364.15,2026-06-30,2.22,5.12,29.57,43.06,58.66,28.97
POKARNA,1037.2,2026-06-30,-2.4,1.84,29.54,24.87,28.89,2.92
IPSL,259.0,2026-06-29,-0.38,-0.38,29.5,23.33,-9.76,-14.5
STEL,572.1,2026-06-30,-0.1,-7.06,29.45,35.44,11.36,38.26
ACSTECH,43.71,2026-06-30,-2.28,10.32,29.36,,,
UFBL,637.45,2026-06-30,-2.88,-4.76,29.25,226.4,210.32,100.87
DIFFNKG,424.2,2026-06-30,2.14,12.88,29.03,69.82,25.89,42.98
SPECTRUM,1860.7,2026-06-30,6.11,5.63,28.91,19.83,52.75,12.4
AGARIND,534.9,2026-06-30,0.2,-1.92,28.88,47.52,-25.88,-46.14
MANBA,137.36,2026-06-30,4.17,4.9,28.72,36.66,-0.43,-6.19
ROTO,72.11,2026-06-30,1.01,10.67,28.61,50.01,5.09,-27.31
QFIL,56.45,2026-06-29,-0.96,0.89,28.59,36.68,-4.0,-28.59
INDOTECH,3235.9,2026-06-30,5.0,15.01,28.57,192.87,107.96,64.6
AURUM,225.67,2026-06-30,0.72,8.36,28.43,45.72,21.27,13.42
AMANTA,161.0,2026-06-30,0.12,0.38,28.28,61.31,54.38,
SYRMA,1396.3,2026-06-30,2.05,4.5,28.27,80.61,93.21,146.63
QUESS,267.61,2026-06-30,7.93,8.84,27.99,59.79,31.98,-6.08
TARSONS,267.99,2026-06-30,3.05,-0.9,27.94,60.99,14.58,-32.27
RPPL,21.63,2026-06-30,5.72,4.85,27.91,38.83,15.48,-20.13
KERNEX,2159.9,2026-06-30,5.04,9.68,27.81,152.03,73.22,81.96
PANAMAPET,420.55,2026-06-30,4.99,-15.29,27.81,81.19,47.02,20.25
PANACHE,432.25,2026-06-30,-0.8,-2.43,27.39,52.15,29.38,104.06
PATELENG,34.93,2026-06-30,1.19,8.38,27.34,57.34,25.69,-14.97
AKSHARCHEM,242.43,2026-06-30,3.43,-1.1,27.32,66.97,2.03,-11.92
PALREDTEC,60.2,2026-06-30,2.0,6.55,27.14,118.99,47.73,20.47
DENORA,903.05,2026-06-30,-0.07,-0.61,27.13,32.51,32.72,2.36
TCIFINANCE,16.73,2026-06-30,-5.0,-22.55,27.13,33.52,-35.8,9.56
ZEELEARN,8.91,2026-06-30,4.95,-3.78,27.1,109.65,23.92,-5.21
OLECTRA,1499.6,2026-06-30,1.73,-1.55,27.08,55.2,24.08,28.03
RML,1155.85,2026-06-30,2.67,1.94,27.05,86.43,47.54,27.01
ONELIFECAP,35.05,2026-06-30,4.35,7.52,27.04,131.97,115.16,160.98
BLISSGVS,539.6,2026-06-30,1.83,14.02,26.88,150.29,232.97,243.46
LYKALABS,73.95,2026-06-30,1.25,8.32,26.84,64.52,-1.68,-35.64
RUBYMILLS,325.0,2026-06-30,-0.14,-3.5,26.76,60.69,46.94,35.74
HMVL,86.38,2026-06-30,-0.58,-0.75,26.69,54.44,25.48,-3.16
ANUP,2331.3,2026-06-30,-0.07,-0.25,26.67,45.37,4.64,-15.26
TAMBOLIIN,222.43,2026-06-30,-0.26,9.96,26.62,,,
STOVEKRAFT,775.5,2026-06-30,-0.42,5.85,26.6,71.0,37.99,30.48
GOKEX,873.25,2026-06-30,2.76,6.57,26.23,50.51,18.74,-3.01
EMSLIMITED,411.3,2026-06-30,-0.22,0.77,26.13,58.28,-1.32,-33.79
ZOTA,1416.8,2026-06-30,1.47,3.46,25.92,33.06,-7.1,45.49
JASH,507.3,2026-06-30,-1.85,-7.6,25.91,47.33,16.72,-12.38
JKIPL,112.84,2026-06-30,3.55,4.12,25.88,137.61,26.76,
ORBTEXP,220.15,2026-06-30,-1.8,5.83,25.77,62.65,14.18,2.98
KIRLOSBROS,2053.4,2026-06-30,4.56,-0.96,25.74,53.34,27.0,-12.6
ASTRAMICRO,1761.6,2026-06-30,1.99,5.15,25.68,105.87,84.54,70.12
CPPLUS,3647.0,2026-06-30,-1.8,0.42,25.61,102.8,145.18,
NRL,83.7,2026-06-30,-0.25,0.41,25.56,79.04,50.16,4.51
VIMTALABS,587.55,2026-06-30,0.57,3.06,25.55,54.9,-1.16,31.15
XPROINDIA,1395.3,2026-06-30,2.28,3.31,25.39,37.81,46.87,17.2
KODYTECH,1070.8,2026-06-29,-5.83,8.62,25.38,48.31,19.28,32.65
POLYMED,1687.4,2026-06-30,2.11,0.96,25.02,41.67,-0.67,-23.98
KABRAEXTRU,269.61,2026-06-30,3.78,11.65,25.02,47.33,21.43,-6.4
VINSYS,457.35,2026-06-29,9.23,24.52,24.96,94.37,25.51,19.8
RPEL,1204.0,2026-06-30,3.87,0.12,24.86,112.75,29.65,72.89
PRADPME,553.7,2026-06-30,-6.2,5.07,24.83,,,
UNIMECH,1171.65,2026-06-30,7.35,-1.37,24.78,65.89,29.95,-10.14
KIRLOSIND,3915.1,2026-06-30,-2.35,-9.23,24.72,58.35,24.51,-8.38
GOCOLORS,393.65,2026-06-30,1.69,8.8,24.65,57.97,-13.02,-55.51
SRIVASAVI,67.3,2026-06-29,2.67,21.7,24.63,45.36,37.35,-5.34
KAMDHENU,29.96,2026-06-30,3.45,3.74,24.63,73.28,19.32,-3.06
ELECTHERM,1097.9,2026-06-30,-5.8,4.29,24.29,97.7,24.06,-6.38
PREMIERPOL,67.78,2026-06-30,2.98,4.96,24.25,7.98,64.28,32.98
HMT,67.87,2026-06-30,2.51,-0.15,24.17,18.72,42.88,3.79
UCAL,123.22,2026-06-30,1.7,7.95,24.14,52.73,12.52,-20.81
KIRLPNU,1953.0,2026-06-30,2.48,-6.62,24.06,87.79,90.34,38.88
ARVIND,587.1,2026-06-30,6.84,15.45,24.03,73.34,87.66,68.26
MOTISONS,14.05,2026-06-30,0.5,-1.13,23.79,29.73,-5.83,-33.32
VENUSPIPES,1730.5,2026-06-30,1.72,3.41,23.78,93.57,50.92,27.0
AETHER,1359.1,2026-06-30,1.26,10.78,23.78,24.18,63.23,78.42
GEMAROMA,183.53,2026-06-30,-5.12,1.79,23.66,32.93,9.58,
