ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11892.9,2026-06-09,85337.5,84366.62,83417.56,81414.05,7651.35,7868.44
HITECHCORP,309.32,2026-06-09,1.13,16.12,120.0,160.92,81.72,62.9
MODISONLTD,327.4,2026-06-09,-4.99,9.57,97.16,157.71,133.19,107.72
SSFL,193.3,2026-06-08,12.97,30.52,96.34,37.68,39.87,20.32
GTECJAINX,36.44,2026-06-09,-4.98,82.02,83.48,88.03,59.96,60.39
COCKERILL,9883.5,2026-06-09,8.59,31.07,78.39,,,
SASKEN,2314.4,2026-06-09,8.58,1.95,69.9,111.4,91.48,59.53
YASHO,2543.6,2026-06-09,2.76,16.14,63.93,76.53,56.93,23.25
STLTECH,613.0,2026-06-09,4.2,8.89,63.05,251.81,529.75,712.78
ACCORD,70.9,2026-06-08,21.4,27.4,62.24,179.13,196.03,220.09
VENUSREM,1610.7,2026-06-09,-5.0,19.83,59.99,113.04,112.49,263.84
KSHITIJPOL,6.54,2026-06-09,4.81,31.85,57.21,184.35,193.27,93.49
BLISSGVS,421.6,2026-06-09,0.48,4.76,56.35,106.41,160.51,212.03
PANACEABIO,607.75,2026-06-09,9.92,52.68,56.33,82.02,80.21,34.59
CLCIND,40.37,2026-06-08,27.59,33.94,54.97,191.69,-85.58,-85.58
IMPEXFERRO,2.54,2026-06-09,4.96,28.28,52.1,53.01,40.33,20.38
MDL,70.0,2026-06-08,32.33,40.0,51.68,55.56,0.36,-33.3
BALAMINES,2242.1,2026-06-09,7.23,27.99,50.76,123.41,96.3,50.18
SAKAR,813.6,2026-06-09,5.99,-2.64,49.15,55.45,108.11,153.5
RPEL,1170.5,2026-06-09,7.36,22.92,47.31,75.09,23.93,65.09
JAYBARMARU,138.82,2026-06-09,-1.38,21.05,47.06,54.81,64.26,76.9
DEEDEV,688.7,2026-06-09,-2.27,10.54,46.77,129.72,230.91,139.8
TCIFINANCE,20.91,2026-06-09,19.97,58.17,46.43,52.85,88.89,67.41
NIBE,1541.3,2026-06-09,4.91,1.31,45.75,58.68,52.63,-8.26
RUBYMILLS,344.7,2026-06-09,5.0,37.52,44.61,67.91,64.94,58.07
DEEM,52.6,2026-06-08,-5.82,54.71,43.91,34.18,13.0,-21.49
UFBL,549.95,2026-06-09,1.48,14.78,43.14,137.76,207.58,68.72
RAIN,203.97,2026-06-09,5.9,6.96,41.82,75.9,95.84,39.98
FCL,39.86,2026-06-09,4.51,-2.52,41.6,83.69,58.68,57.12
IZMO,992.9,2026-06-09,3.08,25.94,41.07,39.61,13.42,219.26
CLEDUCATE,56.08,2026-06-09,-0.67,26.71,40.83,12.34,-31.84,-40.84
GVPIL,905.5,2026-06-09,5.0,10.17,40.09,104.79,181.12,229.03
NRBBEARING,438.95,2026-06-09,2.47,21.9,38.98,73.28,60.58,68.07
CPPLUS,3482.2,2026-06-09,1.71,11.39,38.83,112.25,134.73,
CONFIPET,75.5,2026-06-09,-2.45,18.95,37.98,162.06,126.52,26.1
DECNGOLD,166.75,2026-06-09,3.22,1.11,37.89,,,
IOLCP,132.84,2026-06-09,4.66,5.54,37.1,86.39,63.1,51.38
ONELIFECAP,26.49,2026-06-09,0.68,1.03,37.04,73.93,64.64,111.75
OCCLLTD,139.92,2026-06-09,4.09,22.49,36.95,79.89,50.76,21.4
BROOKS,68.23,2026-06-09,2.36,-0.47,36.65,16.71,-29.45,-47.79
SUPRIYA,962.9,2026-06-09,4.77,-8.51,36.25,65.77,30.13,40.31
BLUECHIP,2.45,2026-06-08,5.15,12.9,36.11,-7.89,-25.08,-55.94
VMARCIND,1382.5,2026-06-08,-1.59,19.77,35.67,97.8,125.86,333.39
SIGMAADV,437.45,2026-06-09,4.99,2.59,35.5,186.91,131.32,351.21
WELSPLSOL,59.25,2026-06-09,8.36,41.64,34.87,,,
SKMEGGPROD,247.57,2026-06-09,2.58,20.07,34.76,69.52,19.87,111.14
JNKINDIA,484.05,2026-06-09,15.7,35.7,34.57,115.8,116.12,34.18
SPECTRUM,1683.3,2026-06-09,0.18,16.07,34.41,23.54,46.94,5.58
PASUPTAC,73.37,2026-06-09,-1.3,5.92,34.38,56.77,40.58,46.36
ELECTHERM,1018.85,2026-06-09,14.94,8.24,34.32,61.39,24.45,-3.18
NRL,76.19,2026-06-09,2.34,13.94,34.28,49.07,34.61,-12.03
KPL,2338.6,2026-06-09,2.99,5.39,34.11,,,
JARO,533.7,2026-06-09,-2.95,-6.89,34.01,28.56,-3.86,
SANGINITA,32.84,2026-06-09,1.99,12.5,33.39,165.48,233.4,211.28
GOCOLORS,391.0,2026-06-09,-3.53,20.31,33.38,35.01,-15.48,-55.03
ALKALI,89.85,2026-06-09,3.2,-7.56,33.13,50.25,15.02,-11.59
SANDHAR,708.9,2026-06-09,2.24,4.79,32.52,43.01,26.52,34.89
INDOBORAX,359.1,2026-06-09,-3.32,4.6,32.41,47.47,37.73,77.27
BAFNAPH,174.58,2026-06-09,-10.0,26.06,32.26,63.17,26.99,135.92
COFFEEDAY,34.76,2026-06-09,-4.79,-9.12,32.02,31.77,9.48,5.11
INSPIRISYS,115.73,2026-06-09,-2.29,-7.8,31.68,46.49,26.38,9.93
KSHINTL,819.9,2026-06-09,9.35,0.84,31.26,118.84,,
OLAELEC,47.34,2026-06-09,6.55,19.76,31.21,103.44,36.27,-3.92
PREMEXPLN,721.95,2026-06-09,4.93,12.17,31.18,47.43,41.53,17.46
RAMCOSYS,540.55,2026-06-09,-3.99,20.91,31.17,34.18,-11.69,18.33
NIITLTD,98.09,2026-06-09,5.44,20.3,30.98,57.27,10.19,-27.38
SVLL,758.8,2026-06-09,-10.64,21.24,30.83,37.33,13.76,-6.9
BLUSPRING,90.01,2026-06-09,-1.09,9.88,30.73,84.26,36.59,
FONEBOX,85.0,2026-06-08,-4.76,-14.36,30.67,8.97,-13.57,-2.3
SHILPAMED,569.15,2026-06-09,6.88,14.0,30.24,70.84,70.53,23.64
NEPHROPLUS,709.25,2026-06-09,6.65,11.41,30.15,26.27,,
