ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,12110.8,2026-08-04,85853.16,86715.77,85853.16,84061.22,7738.71,8259.77
RSDFIN,145.88,2026-08-04,9.78,77.9,82.35,70.12,,
UNIVASTU,144.68,2026-08-04,3.37,15.86,63.65,107.25,133.85,67.39
SHARDUL,45.66,2026-08-04,10.0,-10.35,63.19,52.51,,
FERMENTA,547.05,2026-08-04,6.91,23.75,59.49,83.79,,
SHALPAINTS,82.54,2026-08-04,23.79,18.64,59.28,55.94,30.11,5.25
DIACABS,316.4,2026-08-04,-2.0,3.0,59.08,90.58,145.5,91.36
UEL,202.91,2026-08-04,31.99,67.75,55.74,27.26,41.88,97.38
KALYANKJIL,591.4,2026-08-04,-2.73,4.75,54.8,43.09,52.74,-0.56
ASAHISONG,391.2,2026-08-04,-0.94,15.11,54.59,59.69,66.98,17.56
DPABHUSHAN,1486.6,2026-08-04,12.8,5.26,53.69,43.4,20.17,-9.8
CLSL,65.9,2026-07-31,2.81,9.65,53.26,51.49,35.88,15.61
CAPTRUST,20.02,2026-08-04,10.18,30.17,53.18,52.48,29.16,-65.48
VIJIFIN,10.61,2026-08-04,3.92,12.28,52.66,177.02,334.84,147.32
KABRAEXTRU,412.45,2026-08-04,-1.47,1.89,51.11,67.83,71.51,58.0
E2E,570.15,2026-08-04,15.75,5.1,49.25,101.37,132.49,162.9
SCANSTL,62.42,2026-08-04,4.71,29.31,49.12,73.34,,
BLUESTONE,848.75,2026-08-04,5.74,3.41,48.99,68.82,94.78,
MENONBE,232.14,2026-08-04,10.23,6.75,47.55,84.64,94.87,78.9
GSPCROP,592.3,2026-08-04,1.6,6.41,46.68,38.76,,
YASHO,4359.9,2026-08-04,12.23,41.0,46.68,192.03,213.92,135.24
SUPREMEENG,2.17,2026-08-04,3.83,11.28,46.62,108.65,70.87,61.94
ARIHANT,1149.6,2026-08-04,0.6,6.31,45.28,25.45,2799.37,2799.37
CHAVDA,125.9,2026-07-31,-0.51,5.58,44.71,21.41,12.51,9.48
ACCORD,202.35,2026-07-31,0.0,0.0,44.64,318.51,622.68,789.45
JFLLIFE,13.0,2026-07-31,15.56,18.18,44.44,38.3,18.72,-8.13
MPSLTD,2726.1,2026-08-04,1.12,1.45,43.77,67.14,56.12,20.93
KCK,19.0,2026-07-31,9.83,13.43,43.4,25.41,-2.06,-56.12
OCCLLTD,180.37,2026-08-04,8.64,18.51,43.21,76.54,85.68,25.15
TBZ,275.85,2026-08-04,-4.12,-1.56,43.2,89.25,72.24,39.51
MAJESAUT,482.45,2026-08-04,11.76,12.42,42.91,51.24,,
KCPSUGIND,31.37,2026-08-04,-1.82,-2.21,42.85,19.92,36.27,-2.64
NURECA,326.05,2026-08-04,-2.2,3.28,42.4,25.28,15.5,35.38
BESTAGRO,22.66,2026-08-04,18.51,42.43,42.34,28.75,12.62,-32.77
AARTISURF,541.85,2026-08-04,35.18,36.04,41.6,28.1,26.23,-2.36
GULFPETRO,54.73,2026-08-04,9.55,20.44,41.57,65.25,65.1,32.74
TATVA,1766.3,2026-08-04,-0.27,-1.88,41.35,35.12,45.34,53.05
DEEPINDS,654.0,2026-08-04,0.72,26.63,41.24,35.25,55.62,26.67
3IINFOLTD,25.12,2026-08-04,2.99,21.47,41.12,44.95,62.17,7.95
SIKKO,5.3,2026-08-04,0.0,5.58,40.58,12.77,22.97,46.27
MORARJEE,11.83,2026-07-31,0.0,-4.6,40.5,67.09,72.95,51.47
KAPSTON,533.75,2026-08-04,12.39,15.98,40.48,57.1,29.93,99.0
KONSTELEC,61.45,2026-07-31,-0.89,-2.07,39.34,45.79,36.71,-0.89
FILATEX,77.92,2026-08-04,1.59,4.39,39.27,75.18,56.5,40.05
GATECH,0.68,2026-08-04,-9.33,38.78,38.78,38.78,30.77,25.93
