ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11949.85,2026-08-14,83523.86,83699.79,84891.82,85195.14,7742.65,8126.52
UEL,234.18,2026-08-14,-13.48,26.95,83.87,57.63,23.64,91.61
VIVO,138.5,2026-08-13,15.66,47.42,79.06,76.1,82.24,116.41
SHALPAINTS,91.39,2026-08-14,8.32,14.22,76.09,81.19,49.57,30.11
AARTISURF,658.55,2026-08-14,26.64,36.91,73.81,62.14,55.48,39.93
E2E,666.75,2026-08-14,10.61,22.79,68.97,103.86,168.3,223.1
CAPTRUST,21.23,2026-08-14,4.68,11.33,67.96,60.59,51.97,-59.13
CLSL,78.15,2026-08-13,6.33,18.05,66.28,78.02,66.28,26.76
DIACABS,368.5,2026-08-14,2.22,14.14,63.8,91.94,179.34,150.53
SABAR,7.1,2026-08-13,3.65,10.08,63.22,44.9,37.86,65.12
KABRAEXTRU,517.4,2026-08-14,1.3,23.6,62.83,123.04,113.74,104.75
GATECH,0.76,2026-08-14,11.76,1.33,61.7,40.74,55.1,61.7
ESCONET,193.95,2026-08-13,17.3,44.74,60.29,43.61,76.88,5.9
GULFPETRO,61.65,2026-08-14,3.61,17.54,60.13,85.53,76.6,49.45
IMPEXFERRO,3.57,2026-08-14,7.53,36.26,56.58,108.77,94.02,82.14
VIJIFIN,12.39,2026-08-14,8.02,19.02,55.85,202.93,463.18,219.33
BIRLACABLE,288.44,2026-08-14,8.06,34.79,52.67,70.71,103.05,90.01
TECHNVISN,5220.5,2026-08-14,-5.57,16.89,51.35,-4.36,,
ABMINTLLTD,62.44,2026-08-14,42.56,46.88,50.75,50.17,23.23,24.63
ALPHAGEO,301.36,2026-08-14,23.16,14.09,50.43,34.5,43.83,31.33
INVPRECQ,1210.0,2026-08-14,6.34,8.8,49.95,93.2,,
MOLDTECH,185.54,2026-08-14,-3.41,24.36,48.41,32.63,32.16,21.21
UNIVASTU,160.69,2026-08-14,21.54,14.8,48.29,127.19,131.11,80.55
COMSYN,287.9,2026-08-14,7.01,37.94,48.28,88.07,58.22,103.96
3IINFOLTD,26.95,2026-08-14,-0.66,10.5,48.16,56.41,69.28,21.4
SHEKHAWATI,19.33,2026-08-14,40.38,42.24,46.88,43.29,34.8,-10.92
TFCILTD,117.44,2026-08-14,2.46,11.77,46.6,53.48,57.74,90.96
ROXHITECH,54.75,2026-08-13,14.06,17.62,45.81,56.21,60.32,29.89
MARINE,370.7,2026-08-14,4.38,28.83,45.26,69.47,102.89,123.92
SIGIND,66.32,2026-08-14,-6.08,18.58,44.84,30.47,31.17,24.34
BECTORFOOD,240.37,2026-08-14,3.04,13.77,43.72,32.98,13.05,-13.45
DEEPINDS,668.7,2026-08-14,3.2,2.99,43.62,45.92,74.78,28.15
EMIL,189.44,2026-08-14,4.8,44.23,43.5,57.97,85.14,58.9
WEL,145.05,2026-08-14,7.62,17.91,43.06,46.68,1.23,-9.88
VR,144.3,2026-08-13,-4.97,15.44,43.01,-3.15,-5.69,-15.61
TIJARIA,6.03,2026-08-14,2.2,21.08,42.55,34.0,3.08,-21.07
KAPSTON,588.4,2026-08-14,3.95,11.88,42.07,74.99,49.0,140.29
SIKKO,5.56,2026-08-14,-9.0,3.54,41.48,23.56,3.73,55.22
BTML,8.82,2026-08-14,10.25,28.95,41.35,34.45,8.62,7.82
KCPSUGIND,30.49,2026-08-14,1.91,-6.44,40.9,23.14,37.71,-1.22
SBCL,1040.1,2026-08-14,-5.88,36.24,40.68,72.14,102.81,100.1
RBA,99.08,2026-08-14,9.81,40.02,40.28,47.88,54.55,25.75
RSDFIN,112.09,2026-08-14,-18.53,-15.65,40.11,30.34,,
KRISHANA,190.68,2026-08-14,3.89,5.71,40.0,38.47,86.17,75.39
PNGSREVA,571.75,2026-08-14,10.86,28.99,39.95,52.08,,
MPSLTD,2808.7,2026-08-14,-1.94,1.38,39.77,71.9,88.1,32.17
NILKAMAL,1860.0,2026-08-14,7.43,9.42,39.59,40.9,32.14,20.38
MARC,128.65,2026-08-12,-1.76,10.33,39.46,38.93,100.23,
BLUESTONE,845.25,2026-08-14,1.82,5.3,39.18,74.19,93.53,
ASKAUTOLTD,644.7,2026-08-14,-1.66,13.17,38.91,44.48,49.75,35.44
CNL,1243.0,2026-08-14,14.7,22.35,38.79,85.47,89.94,99.91
SUPREMEENG,2.33,2026-08-14,0.0,9.39,38.69,133.0,126.21,83.46
MHLXMIRU,188.77,2026-08-14,21.76,27.26,38.52,7.23,-1.69,-17.54
21STCENMGM,44.05,2026-08-14,2.04,7.52,38.3,35.46,15.07,-21.41
NEUEON,16.97,2026-08-14,20.35,14.35,38.08,-34.98,73.16,225.1
DIVGIITTS,1301.05,2026-08-14,23.18,33.36,36.98,93.25,74.74,102.12
FONEBOX,101.4,2026-08-13,5.63,12.29,36.57,53.99,25.96,26.75
YASHO,4215.7,2026-08-14,0.34,8.52,36.41,155.04,206.53,141.89
LUMAXTECH,2025.7,2026-08-14,16.54,25.01,36.18,24.15,25.11,102.28
UNIVCABLES,1644.4,2026-08-14,-2.89,14.85,36.17,62.37,139.12,126.83
JGCHEM,606.15,2026-08-14,-2.58,19.23,35.95,45.66,60.19,19.27
MBAPL,168.46,2026-08-14,2.44,5.28,35.85,59.08,81.4,99.98
CUPID,293.88,2026-08-14,11.86,27.25,35.57,138.77,249.03,775.06
NEPHROCARE,92.0,2026-08-13,15.65,39.61,35.49,15.65,-14.54,-33.57
GSPCROP,596.25,2026-08-14,0.21,1.43,35.45,37.56,,
VCL,1.69,2026-08-14,20.71,50.89,35.2,14.19,-23.53,60.95
UCL,257.0,2026-08-13,13.99,23.03,35.16,83.57,267.67,414.0
PAUSHAKLTD,740.8,2026-08-14,6.56,13.48,35.14,55.59,48.48,
SCPL,653.05,2026-08-14,3.44,2.26,35.08,50.37,93.55,159.04
SICALLOG,115.73,2026-08-14,13.38,8.25,34.96,79.84,48.42,10.27
AMBALALSA,42.27,2026-08-14,-12.43,14.77,34.92,36.66,,
MOREPENLAB,84.19,2026-08-14,6.35,46.04,34.57,95.75,118.39,82.26
MOL,63.23,2026-08-14,8.29,16.32,34.47,20.67,16.57,-24.26
GICL,23.05,2026-08-14,11.14,29.28,33.93,-42.38,-49.73,-80.63
SEL,306.65,2026-08-13,26.19,23.9,33.91,39.39,59.71,13.57
GMMPFAUDLR,1048.25,2026-08-14,5.5,22.11,33.2,19.29,4.78,-17.52
MANYAVAR,528.75,2026-08-14,0.73,26.27,32.99,19.48,16.13,-28.13
KOTYARK,40.28,2026-08-14,9.12,30.7,32.8,15.76,112.19,90.74
ORTEL,2.19,2026-08-13,-4.78,17.11,32.73,25.14,58.7,41.29
HALDER,301.9,2026-08-14,14.52,18.39,32.43,33.86,16.25,
SHK,170.72,2026-08-14,-0.1,2.51,32.43,20.66,2.14,-21.06
IL&FSENGG,36.73,2026-08-14,3.46,4.38,32.41,36.29,40.94,10.04
INDSWFTLAB,304.18,2026-08-14,28.22,33.04,32.33,125.97,123.56,199.86
RKFORGE,732.6,2026-08-14,-0.49,7.55,32.27,26.05,28.44,29.83
SUDEEPPHRM,1105.55,2026-08-14,4.96,27.43,32.25,64.68,65.69,
IRISDOREME,57.93,2026-08-14,3.87,8.24,32.2,57.5,62.27,72.41
TDPOWERSYS,1484.6,2026-08-14,20.07,33.59,32.09,25.51,78.09,192.57
FILATEX,81.39,2026-08-14,-4.0,6.11,31.93,91.55,69.7,56.73
MACPOWER,1749.3,2026-08-14,-4.11,20.0,31.89,53.8,94.5,105.45
SHILPAMED,822.0,2026-08-14,1.79,31.83,31.68,82.46,151.53,81.15
HAPPYFORGE,2089.6,2026-08-14,8.49,22.98,31.59,51.38,61.17,121.45
ANSALAPI,3.45,2026-08-14,-1.71,1.77,31.18,-20.69,3.6,-34.54
GANGAFORGE,2.62,2026-08-14,19.09,46.37,31.0,6.5,-17.09,-23.17
PLAZACABLE,56.38,2026-08-14,21.51,28.11,30.99,14.27,40.77,1.55
CYIENTDLM,696.65,2026-08-14,0.74,3.71,30.79,68.6,91.73,66.13
RATNAVEER,230.16,2026-08-14,10.71,11.84,30.78,27.53,56.65,65.06
PRECISION,8.5,2026-08-13,4.29,18.06,30.77,6.25,-26.72,-64.36
ORISSAMINE,4883.1,2026-08-14,9.72,18.92,30.74,15.6,12.84,0.52
RUDRA,22.46,2026-08-14,24.92,24.36,30.51,14.18,20.24,
DCI,365.1,2026-08-14,3.87,8.27,30.44,34.65,33.02,56.88
KPL,3436.5,2026-08-14,9.65,34.13,30.17,104.4,,
AKSHARCHEM,305.64,2026-08-14,9.7,19.61,30.06,52.64,36.96,10.84
VALIANTLAB,82.41,2026-08-14,21.53,33.48,29.98,3.8,34.59,-7.56
MENONBE,229.68,2026-08-14,-6.84,3.89,29.73,59.48,96.4,81.62
